family=taillard_benchmarks planned stream configs: 80, methods=['cpsat_cold', 'cpsat_warm', 'boot_cold', 'boot_warm'], sizes=[(0, 0)], budgets=[8], workers=[1], severities=['medium']
running 80 stream configs across 8 worker processes
  ta01_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta01_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta01_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta01_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta02_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta02_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta02_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta02_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta03_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta03_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta03_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta03_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta04_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta04_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta04_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta04_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta05_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta05_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta05_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta05_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta06_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta06_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta06_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta06_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta07_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta07_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta07_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta07_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta08_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta08_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta08_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta08_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta09_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta09_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta09_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta09_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta10_15x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta10_15x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta10_15x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta10_15x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta11_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta11_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta11_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta11_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta12_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta12_20x15 seed=2 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta12_20x15 seed=3 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta12_20x15 seed=4 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
  ta13_20x15 seed=1 budget=8 workers=1 severity=medium bpolicy=append: 4 methods done
