seed,method,instance,delta_kind,objective,best_known,final_gap,primal_integral,rounds,improving_rounds,initial_objective
1,cpsat_cold,0,base,713,713,0.0,0.030646398838053996,0,0,
1,cpsat_cold,1,duration_jitter,731,717,0.019525801952580194,0.03294394637372054,0,0,
1,cpsat_cold,2,cancellation,705,705,0.0,0.02423960972661549,0,0,
1,cpsat_cold,3,cancellation,667,667,0.0,0.011026029586360887,0,0,
1,cpsat_cold,4,arrival,674,674,0.0,0.017554533911056443,0,0,
1,cpsat_warm,0,base,713,713,0.0,0.030007714843160317,0,0,
1,cpsat_warm,1,duration_jitter,717,717,0.0,0.028699109112393144,0,0,
1,cpsat_warm,2,cancellation,717,705,0.01702127659574468,0.01806420660183884,0,0,
1,cpsat_warm,3,cancellation,667,667,0.0,0.020962295860778697,0,0,
1,cpsat_warm,4,arrival,676,674,0.002967359050445104,0.023053536397079914,0,0,
1,boot_warm,0,base,713,713,0.0,0.030190237194110642,0,0,
1,boot_warm,1,duration_jitter,717,717,0.0,0.009974959958113329,0,0,746.0
1,boot_warm,2,cancellation,705,705,0.0,0.004839779531202569,0,0,717.0
1,boot_warm,3,cancellation,667,667,0.0,0.009014469125298323,0,0,701.0
1,boot_warm,4,arrival,674,674,0.0,0.025156981867099172,0,0,831.0
1,boot_cold,0,base,713,713,0.0,0.03026441161188187,0,0,
1,boot_cold,1,duration_jitter,731,717,0.019525801952580194,0.02766886294148524,0,0,746.0
1,boot_cold,2,cancellation,705,705,0.0,0.020109866450925468,0,0,731.0
1,boot_cold,3,cancellation,667,667,0.0,0.009785491393489318,0,0,705.0
1,boot_cold,4,arrival,674,674,0.0,0.016761524496230924,0,0,831.0
2,cpsat_cold,0,base,701,701,0.0,0.02043471928772177,0,0,
2,cpsat_cold,1,duration_jitter,714,714,0.0,0.025624552506533466,0,0,
2,cpsat_cold,2,arrival,736,728,0.01098901098901099,0.028054353980905444,0,0,
2,cpsat_cold,3,duration_jitter,739,737,0.0027137042062415195,0.0112761676168817,0,0,
2,cpsat_cold,4,outage,760,744,0.021505376344086023,0.03464636262996787,0,0,
2,cpsat_warm,0,base,701,701,0.0,0.02035448399384273,0,0,
2,cpsat_warm,1,duration_jitter,725,714,0.015406162464985995,0.051684839642383795,0,0,
2,cpsat_warm,2,arrival,728,728,0.0,0.032340900881200264,0,0,
2,cpsat_warm,3,duration_jitter,739,737,0.0027137042062415195,0.02343493516191166,0,0,
2,cpsat_warm,4,outage,748,744,0.005376344086021506,0.028731370893924628,0,0,
2,boot_warm,0,base,701,701,0.0,0.020549193199225085,0,0,
2,boot_warm,1,duration_jitter,717,714,0.004201680672268907,0.017375291015885003,0,0,774.0
2,boot_warm,2,arrival,734,728,0.008241758241758242,0.03889385979091857,0,0,840.0
2,boot_warm,3,duration_jitter,737,737,0.0,0.010762720323772564,0,0,750.0
2,boot_warm,4,outage,744,744,0.0,0.022409192316224097,0,0,860.0
2,boot_cold,0,base,701,701,0.0,0.02056500984423647,0,0,
2,boot_cold,1,duration_jitter,714,714,0.0,0.022819177707179825,0,0,774.0
2,boot_cold,2,arrival,736,728,0.01098901098901099,0.026711010529002776,0,0,843.0
2,boot_cold,3,duration_jitter,739,737,0.0027137042062415195,0.003633558102088868,0,0,742.0
2,boot_cold,4,outage,760,744,0.021505376344086023,0.03292191335332914,0,0,841.0
3,cpsat_cold,0,base,634,634,0.0,0.018163167693588313,0,0,
3,cpsat_cold,1,outage,637,637,0.0,0.020130307554268076,0,0,
3,cpsat_cold,2,cancellation,642,636,0.009433962264150943,0.02192308183601302,0,0,
3,cpsat_cold,3,duration_jitter,632,632,0.0,0.02634594200727533,0,0,
3,cpsat_cold,4,cancellation,617,617,0.0,0.010393434670544158,0,0,
3,cpsat_warm,0,base,634,634,0.0,0.018164745618608317,0,0,
3,cpsat_warm,1,outage,653,637,0.02511773940345369,0.035660343045029595,0,0,
3,cpsat_warm,2,cancellation,642,636,0.009433962264150943,0.01338845959012675,0,0,
3,cpsat_warm,3,duration_jitter,632,632,0.0,0.031146066499689973,0,0,
3,cpsat_warm,4,cancellation,617,617,0.0,0.008330971734047147,0,0,
3,boot_warm,0,base,634,634,0.0,0.018387436304151992,0,0,
3,boot_warm,1,outage,651,637,0.02197802197802198,0.02376032842453763,0,0,677.0
3,boot_warm,2,cancellation,636,636,0.0,0.017558959176749798,0,0,651.0
3,boot_warm,3,duration_jitter,648,632,0.02531645569620253,0.030706810661576118,0,0,690.0
3,boot_warm,4,cancellation,617,617,0.0,0.006001782990609805,0,0,648.0
3,boot_cold,0,base,634,634,0.0,0.018292543252994127,0,0,
3,boot_cold,1,outage,637,637,0.0,0.014491456320142523,0,0,677.0
3,boot_cold,2,cancellation,636,636,0.0,1.267729967366904e-05,0,0,636.0
3,boot_cold,3,duration_jitter,632,632,0.0,0.025331212537828468,0,0,692.0
3,boot_cold,4,cancellation,617,617,0.0,0.004113901091719346,0,0,628.0
4,cpsat_cold,0,base,640,640,0.0,0.046328508217388834,0,0,
4,cpsat_cold,1,arrival,676,664,0.018072289156626505,0.03313611254610345,0,0,
4,cpsat_cold,2,outage,690,670,0.029850746268656716,0.046144271503487565,0,0,
4,cpsat_cold,3,duration_jitter,677,670,0.010447761194029851,0.03262706280152536,0,0,
4,cpsat_cold,4,outage,696,674,0.032640949554896145,0.05297011504088285,0,0,
4,cpsat_warm,0,base,640,640,0.0,0.04610851192258904,0,0,
4,cpsat_warm,1,arrival,676,664,0.018072289156626505,0.03526958712352635,0,0,
4,cpsat_warm,2,outage,670,670,0.0,0.011464115674299044,0,0,
4,cpsat_warm,3,duration_jitter,670,670,0.0,0.03947439104561873,0,0,
4,cpsat_warm,4,outage,674,674,0.0,0.09021962859543219,0,0,
4,boot_warm,0,base,640,640,0.0,0.046288009275103834,0,0,
4,boot_warm,1,arrival,664,664,0.0,0.04235863944264699,0,0,766.0
4,boot_warm,2,outage,675,670,0.007462686567164179,0.026639987879720307,0,0,724.0
4,boot_warm,3,duration_jitter,673,670,0.004477611940298508,0.010668897466224084,0,0,678.0
4,boot_warm,4,outage,674,674,0.0,0.01799779111988917,0,0,730.0
4,boot_cold,0,base,640,640,0.0,0.046369683643051746,0,0,
4,boot_cold,1,arrival,676,664,0.018072289156626505,0.031944389169382116,0,0,766.0
4,boot_cold,2,outage,690,670,0.029850746268656716,0.04260157991686763,0,0,733.0
4,boot_cold,3,duration_jitter,677,670,0.010447761194029851,0.02563127021905584,0,0,696.0
4,boot_cold,4,outage,696,674,0.032640949554896145,0.05132127902372078,0,0,743.0
5,cpsat_cold,0,base,643,643,0.0,0.010004632172832326,0,0,
5,cpsat_cold,1,duration_jitter,634,625,0.0144,0.033316269466374074,0,0,
5,cpsat_cold,2,duration_jitter,632,631,0.001584786053882726,0.03325623662497704,0,0,
5,cpsat_cold,3,arrival,671,671,0.0,0.021435126109728305,0,0,
5,cpsat_cold,4,duration_jitter,676,672,0.005952380952380952,0.018570348962025272,0,0,
5,cpsat_warm,0,base,643,643,0.0,0.010016956459658442,0,0,
5,cpsat_warm,1,duration_jitter,649,625,0.0384,0.05077917494007387,0,0,
5,cpsat_warm,2,duration_jitter,639,631,0.012678288431061807,0.03476471830594922,0,0,
5,cpsat_warm,3,arrival,673,671,0.0029806259314456036,0.034548188191207016,0,0,
5,cpsat_warm,4,duration_jitter,672,672,0.0,0.047153574242678416,0,0,
5,boot_warm,0,base,643,643,0.0,0.010384746763686298,0,0,
5,boot_warm,1,duration_jitter,625,625,0.0,0.02057190139823593,0,0,644.0
5,boot_warm,2,duration_jitter,631,631,0.0,0.01821216851870069,0,0,652.0
5,boot_warm,3,arrival,682,671,0.01639344262295082,0.037989205606848216,0,0,796.0
5,boot_warm,4,duration_jitter,680,672,0.011904761904761904,0.013595219267197187,0,0,682.0
5,boot_cold,0,base,643,643,0.0,0.010184072254380953,0,0,
5,boot_cold,1,duration_jitter,634,625,0.0144,0.02421149134045001,0,0,644.0
5,boot_cold,2,duration_jitter,632,631,0.001584786053882726,0.015804546742994124,0,0,641.0
5,boot_cold,3,arrival,671,671,0.0,0.020454347064455237,0,0,800.0
5,boot_cold,4,duration_jitter,675,672,0.004464285714285714,0.004478122465155008,0,0,675.0
