method,instance,delta_kind,num_ops,objective,best_known,final_gap,primal_integral,rounds
cpsat_cold,0,base,225,701,696,0.007183908045977011,0.040479347803456814,0
cpsat_cold,1,duration_jitter,225,718,700,0.025714285714285714,0.03795862711677702,0
cpsat_cold,2,arrival,240,748,716,0.0446927374301676,0.05484743318529632,0
cpsat_cold,3,cancellation,225,711,694,0.024495677233429394,0.05062510073785077,0
cpsat_cold,4,duration_jitter,225,729,729,0.0,0.016937236868586666,0
cpsat_cold,5,outage,225,735,734,0.0013623978201634877,0.0176962431198436,0
cpsat_cold,6,cancellation,210,727,717,0.01394700139470014,0.027595409186409348,0
cpsat_cold,7,arrival,225,745,745,0.0,0.0075518245238091215,0
cpsat_cold,8,cancellation,210,720,720,0.0,0.005573650430701998,0
cpsat_cold,9,arrival,225,766,766,0.0,0.011001789182036694,0
cpsat_cold,10,outage,225,766,766,0.0,0.004669072598379026,0
cpsat_cold,11,outage,225,766,766,0.0,0.011298625941307617,0
cpsat_cold,12,cancellation,210,728,728,0.0,0.01673364515959543,0
cpsat_warm,0,base,225,701,696,0.007183908045977011,0.03984655819318484,0
cpsat_warm,1,duration_jitter,225,742,700,0.06,0.0731868712418904,0
cpsat_warm,2,arrival,240,736,716,0.027932960893854747,0.06643349958986774,0
cpsat_warm,3,cancellation,225,714,694,0.02881844380403458,0.039381705291155075,0
cpsat_warm,4,duration_jitter,225,750,729,0.02880658436213992,0.048904865767726284,0
cpsat_warm,5,outage,225,734,734,0.0,0.025688001469085897,0
cpsat_warm,6,cancellation,210,721,717,0.005578800557880056,0.011620761234363338,0
cpsat_warm,7,arrival,225,745,745,0.0,0.03276379838207505,0
cpsat_warm,8,cancellation,210,720,720,0.0,0.00868642820941103,0
cpsat_warm,9,arrival,225,766,766,0.0,0.03207198691099155,0
cpsat_warm,10,outage,225,766,766,0.0,0.015641060394996596,0
cpsat_warm,11,outage,225,766,766,0.0,0.019357481908996034,0
cpsat_warm,12,cancellation,210,728,728,0.0,0.010455059992584993,0
lns_uniform,0,base,225,728,696,0.04597701149425287,0.05293758351392339,117
lns_uniform,1,duration_jitter,225,727,700,0.03857142857142857,0.0727728747273193,101
lns_uniform,2,arrival,240,716,716,0.0,0.028457751951219256,92
lns_uniform,3,cancellation,225,694,694,0.0,0.012190236909605943,102
lns_uniform,4,duration_jitter,225,745,729,0.02194787379972565,0.036735690024145874,103
lns_uniform,5,outage,225,752,734,0.02452316076294278,0.054426617705756,109
lns_uniform,6,cancellation,210,728,717,0.015341701534170154,0.023156046161286095,124
lns_uniform,7,arrival,225,760,745,0.020134228187919462,0.03694071931365624,115
lns_uniform,8,cancellation,210,720,720,0.0,0.006542032063478273,0
lns_uniform,9,arrival,225,766,766,0.0,0.015123397249839531,0
lns_uniform,10,outage,225,766,766,0.0,0.0012436344011803157,0
lns_uniform,11,outage,225,766,766,0.0,0.010989162757002301,0
lns_uniform,12,cancellation,210,728,728,0.0,0.01079880502229271,132
lns_eps_reset,0,base,225,728,696,0.04597701149425287,0.053094677078255714,102
lns_eps_reset,1,duration_jitter,225,735,700,0.05,0.07386512146907832,97
lns_eps_reset,2,arrival,240,749,716,0.046089385474860335,0.06231605166457934,93
lns_eps_reset,3,cancellation,225,719,694,0.03602305475504323,0.06723427320997641,53
lns_eps_reset,4,duration_jitter,225,735,729,0.00823045267489712,0.03594082302173105,120
lns_eps_reset,5,outage,225,743,734,0.01226158038147139,0.03520873517679619,95
lns_eps_reset,6,cancellation,210,727,717,0.01394700139470014,0.022005509530068103,110
lns_eps_reset,7,arrival,225,754,745,0.012080536912751677,0.0328848212747249,101
lns_eps_reset,8,cancellation,210,720,720,0.0,0.009554814829332625,0
lns_eps_reset,9,arrival,225,766,766,0.0,0.0061993858418849905,0
lns_eps_reset,10,outage,225,769,766,0.0039164490861618795,0.030543816353424447,123
lns_eps_reset,11,outage,225,766,766,0.0,0.008991371246396951,0
lns_eps_reset,12,cancellation,210,731,728,0.004120879120879121,0.011965574427723457,115
lns_eps_persist,0,base,225,728,696,0.04597701149425287,0.053128133784800954,102
lns_eps_persist,1,duration_jitter,225,735,700,0.05,0.07389464681503057,95
lns_eps_persist,2,arrival,240,741,716,0.034916201117318434,0.0627052593839195,82
lns_eps_persist,3,cancellation,225,723,694,0.04178674351585014,0.04903148275104366,99
lns_eps_persist,4,duration_jitter,225,741,729,0.01646090534979424,0.0280637082596698,129
lns_eps_persist,5,outage,225,758,734,0.0326975476839237,0.05012797162705831,106
