method,instance,delta_kind,num_ops,objective,best_known,final_gap,primal_integral,rounds
cpsat_cold,0,base,225,695,695,0.0,0.03606114962745857,0
cpsat_cold,1,duration_jitter,225,718,699,0.027181688125894134,0.03771532512336033,0
cpsat_cold,2,arrival,240,745,705,0.05673758865248227,0.06950143981751397,0
cpsat_cold,3,cancellation,225,704,700,0.005714285714285714,0.037549605027410775,0
cpsat_cold,4,duration_jitter,225,728,728,0.0,0.015816601463686294,0
cpsat_cold,5,outage,225,735,727,0.011004126547455296,0.024709083543054493,0
cpsat_cold,6,cancellation,210,721,717,0.005578800557880056,0.02512447638880001,0
cpsat_cold,7,arrival,225,745,745,0.0,0.006482420574601013,0
cpsat_cold,8,cancellation,210,720,720,0.0,0.004726746862037947,0
cpsat_cold,9,arrival,225,766,766,0.0,0.009479257204404522,0
cpsat_cold,10,outage,225,766,766,0.0,0.00402321424519135,0
cpsat_cold,11,outage,225,766,766,0.0,0.009632335168830188,0
cpsat_cold,12,cancellation,210,728,728,0.0,0.014247287952433574,0
cpsat_warm,0,base,225,695,695,0.0,0.03624031696601338,0
cpsat_warm,1,duration_jitter,225,711,699,0.017167381974248927,0.03669377335534849,0
cpsat_warm,2,arrival,240,727,705,0.031205673758865248,0.0661968805528236,0
cpsat_warm,3,cancellation,225,725,700,0.03571428571428571,0.03892502541256336,0
cpsat_warm,4,duration_jitter,225,728,728,0.0,0.04659302419749618,0
cpsat_warm,5,outage,225,745,727,0.024759284731774415,0.04191237787437543,0
cpsat_warm,6,cancellation,210,727,717,0.01394700139470014,0.019658886553989,0
cpsat_warm,7,arrival,225,745,745,0.0,0.017484432212874025,0
cpsat_warm,8,cancellation,210,720,720,0.0,0.006284009752529932,0
cpsat_warm,9,arrival,225,766,766,0.0,0.0159567643746499,0
cpsat_warm,10,outage,225,766,766,0.0,0.0010977430996717886,0
cpsat_warm,11,outage,225,766,766,0.0,0.023910904511635033,0
cpsat_warm,12,cancellation,210,728,728,0.0,0.0073220120519561175,0
lns_uniform,0,base,225,700,695,0.007194244604316547,0.0362612725983553,51
