method,instance,delta_kind,num_ops,objective,best_known,final_gap,primal_integral,rounds
cpsat_cold,0,base,225,695,695,0.0,0.03614696675218499,0
cpsat_cold,1,duration_jitter,225,718,699,0.027181688125894134,0.03773808317995584,0
cpsat_cold,2,arrival,240,745,705,0.05673758865248227,0.06967457319927278,0
cpsat_cold,3,cancellation,225,704,700,0.005714285714285714,0.03744845350180653,0
cpsat_cold,4,duration_jitter,225,728,712,0.02247191011235955,0.03848633081866006,0
cpsat_cold,5,outage,225,735,727,0.011004126547455296,0.024902951724114226,0
cpsat_cold,6,cancellation,210,721,717,0.005578800557880056,0.02485755720582363,0
cpsat_cold,7,arrival,225,745,745,0.0,0.006525901068402798,0
cpsat_cold,8,cancellation,210,720,720,0.0,0.004693452427745796,0
cpsat_cold,9,arrival,225,766,766,0.0,0.009368655888491229,0
cpsat_cold,10,outage,225,766,766,0.0,0.003912689591434695,0
cpsat_cold,11,outage,225,766,766,0.0,0.009363807363759491,0
cpsat_cold,12,cancellation,210,728,728,0.0,0.014055800793809529,0
cpsat_warm,0,base,225,698,695,0.004316546762589928,0.03740397986922021,0
cpsat_warm,1,duration_jitter,225,728,699,0.04148783977110158,0.07401067045314833,0
cpsat_warm,2,arrival,240,733,705,0.03971631205673759,0.06108525326218313,0
cpsat_warm,3,cancellation,225,703,700,0.004285714285714286,0.02800031437555612,0
cpsat_warm,4,duration_jitter,225,723,712,0.01544943820224719,0.04276937967435434,0
cpsat_warm,5,outage,225,745,727,0.024759284731774415,0.052686824587909874,0
cpsat_warm,6,cancellation,210,721,717,0.005578800557880056,0.012922620233494173,0
cpsat_warm,7,arrival,225,745,745,0.0,0.046217770984274445,0
cpsat_warm,8,cancellation,210,720,720,0.0,0.0038989500100312102,0
cpsat_warm,9,arrival,225,766,766,0.0,0.02964249575169355,0
cpsat_warm,10,outage,225,766,766,0.0,0.0009926525002811105,0
cpsat_warm,11,outage,225,766,766,0.0,0.012651301292588119,0
cpsat_warm,12,cancellation,210,728,728,0.0,0.007461870840451919,0
lns_uniform,0,base,225,700,695,0.007194244604316547,0.03719618161622666,51
lns_uniform,1,duration_jitter,225,706,699,0.010014306151645207,0.05228093989672341,50
lns_uniform,2,arrival,240,740,705,0.04964539007092199,0.07293658928311984,33
lns_uniform,3,cancellation,225,713,700,0.018571428571428572,0.03273612802502301,47
lns_uniform,4,duration_jitter,225,728,712,0.02247191011235955,0.04164884932692525,50
lns_uniform,5,outage,225,747,727,0.027510316368638238,0.04352957107920723,49
lns_uniform,6,cancellation,210,717,717,0.0,0.013878781009997846,57
lns_uniform,7,arrival,225,745,745,0.0,0.017891378834501422,0
