instance,delta_kind,num_ops,round_index,arm,objective_before,objective_after,improved,elapsed,round_time,reward
0,base,225,0,critical_40,701,700,True,8.03881933298544,0.0329858890036121,30.31599360230963
0,base,225,1,random_40,700,700,False,8.066808570962166,0.027989237976726145,0.0
0,base,225,2,random_40,700,700,False,8.093677496974124,0.026868926011957228,0.0
0,base,225,3,delta_40,700,700,False,8.122303504962474,0.028626007988350466,0.0
0,base,225,4,random_40,700,700,False,8.149765105947154,0.027461600984679535,0.0
0,base,225,5,delta_40,700,700,False,8.176602813939098,0.026837707991944626,0.0
0,base,225,6,critical_40,700,700,False,8.205490045947954,0.02888723200885579,0.0
0,base,225,7,critical_40,700,700,False,8.23331045996747,0.027820414019515738,0.0
0,base,225,8,critical_40,700,700,False,8.261682895972626,0.028372436005156487,0.0
0,base,225,9,delta_40,700,700,False,8.290200363000622,0.028517467027995735,0.0
0,base,225,10,critical_40,700,700,False,8.318651037989184,0.02845067498856224,0.0
0,base,225,11,delta_40,700,700,False,8.347402758983662,0.02875172099447809,0.0
0,base,225,12,random_40,700,700,False,8.3750428519852,0.027640093001537025,0.0
0,base,225,13,critical_40,700,700,False,8.4039725229959,0.028929671010700986,0.0
0,base,225,14,critical_40,700,700,False,8.43149971801904,0.02752719502313994,0.0
0,base,225,15,random_40,700,700,False,8.458939268020913,0.027439550001872703,0.0
0,base,225,16,random_40,700,700,False,8.485808941011783,0.02686967299086973,0.0
0,base,225,17,random_40,700,700,False,8.513671287015313,0.027862346003530547,0.0
0,base,225,18,delta_40,700,700,False,8.541400773014175,0.02772948599886149,0.0
0,base,225,19,random_40,700,700,False,8.568572802993003,0.027172029978828505,0.0
0,base,225,20,random_40,700,700,False,8.59720488297171,0.028632079978706315,0.0
0,base,225,21,random_40,700,700,False,8.625252474972513,0.02804759200080298,0.0
0,base,225,22,delta_40,700,699,True,8.661933411989594,0.036680937017081305,27.262117091892375
0,base,225,23,random_40,699,699,False,8.69084178301273,0.02890837102313526,0.0
0,base,225,24,random_40,699,699,False,8.717930571001489,0.027088787988759577,0.0
0,base,225,25,critical_40,699,699,False,8.745317232998786,0.02738666199729778,0.0
0,base,225,26,random_40,699,699,False,8.773846169002354,0.02852893600356765,0.0
0,base,225,27,critical_40,699,699,False,8.802101231005508,0.028255062003154308,0.0
0,base,225,28,delta_40,699,699,False,8.831047241023043,0.028946010017534718,0.0
0,base,225,29,critical_40,699,699,False,8.859053851017961,0.028006609994918108,0.0
0,base,225,30,delta_40,699,699,False,8.886579258018173,0.027525407000212,0.0
0,base,225,31,random_40,699,699,False,8.914133837999543,0.027554579981369898,0.0
0,base,225,32,critical_40,699,699,False,8.941330561996438,0.027196723996894434,0.0
0,base,225,33,delta_40,699,699,False,8.969257413002197,0.02792685100575909,0.0
0,base,225,34,critical_40,699,699,False,8.997422722022748,0.02816530902055092,0.0
0,base,225,35,critical_40,699,699,False,9.02448973301216,0.027067010989412665,0.0
0,base,225,36,critical_40,699,699,False,9.053260433021933,0.028770700009772554,0.0
0,base,225,37,random_40,699,699,False,9.081205392023548,0.027944959001615644,0.0
0,base,225,38,random_40,699,699,False,9.110683319042437,0.029477927018888295,0.0
0,base,225,39,random_40,699,699,False,9.13846306601772,0.02777974697528407,0.0
0,base,225,40,critical_40,699,699,False,9.167213000007905,0.028749933990184218,0.0
0,base,225,41,random_40,699,699,False,9.195264999027131,0.02805199901922606,0.0
0,base,225,42,random_40,699,699,False,9.222885092021897,0.02762009299476631,0.0
0,base,225,43,delta_40,699,699,False,9.25124794401927,0.028362851997371763,0.0
0,base,225,44,critical_40,699,699,False,9.279071427008603,0.02782348298933357,0.0
0,base,225,45,random_40,699,699,False,9.307522196031641,0.028450769023038447,0.0
0,base,225,46,critical_40,699,699,False,9.33613962502568,0.028617428994039074,0.0
0,base,225,47,critical_40,699,699,False,9.364183668018086,0.028044042992405593,0.0
0,base,225,48,random_40,699,699,False,9.391922068025451,0.02773840000736527,0.0
0,base,225,49,delta_40,699,699,False,9.419464500038885,0.027542432013433427,0.0
0,base,225,50,random_40,699,699,False,9.44824147503823,0.02877697499934584,0.0
0,base,225,51,critical_40,699,699,False,9.477097181021236,0.028855705983005464,0.0
0,base,225,52,random_40,699,699,False,9.503639877017122,0.02654269599588588,0.0
0,base,225,53,random_40,699,699,False,9.530804838024778,0.02716496100765653,0.0
0,base,225,54,delta_40,699,699,False,9.560816864017397,0.030012025992618874,0.0
0,base,225,55,random_40,699,699,False,9.588887012010673,0.028070147993275896,0.0
0,base,225,56,critical_40,699,699,False,9.616274277010234,0.027387264999561012,0.0
0,base,225,57,delta_40,699,699,False,9.645243104023393,0.02896882701315917,0.0
0,base,225,58,random_40,699,699,False,9.673276138026267,0.028033034002874047,0.0
0,base,225,59,critical_40,699,699,False,9.701846176030813,0.028570038004545495,0.0
0,base,225,60,delta_40,699,699,False,9.730374795035459,0.028528619004646316,0.0
0,base,225,61,random_40,699,699,False,9.758033635036554,0.027658840001095086,0.0
0,base,225,62,delta_40,699,699,False,9.784853806020692,0.026820170984137803,0.0
0,base,225,63,delta_40,699,699,False,9.812652374006575,0.027798567985882983,0.0
0,base,225,64,delta_40,699,699,False,9.842659365007421,0.03000699100084603,0.0
