method,split,delta_kind,mean_pi,mean_final_gap,wins
cpsat_warm,full,arrival,0.02551782193862311,0.0013774104683195593,1
fixed_delta_40,i8_r2_s0.5,arrival,0.030067474325453702,0.005185185185185185,1
fixed_critical_40,i6_r4_s0.5,arrival,0.031514903263597925,0.007355371900826447,0
fixed_critical_40,i6_r4_s1,arrival,0.034409153633383954,0.0190633608815427,0
cpsat_cold,full,arrival,0.034726297043098375,0.00990205081114172,0
fixed_outage_window_40,i8_r2_s0.5,arrival,0.03611994714183071,0.015775941230486687,0
fixed_delta_expand_40,i8_r2_s0.5,arrival,0.036284624325232884,0.015775941230486687,0
fixed_critical_block_40,i8_r2_s0.5,arrival,0.03671306001159454,0.017842056932966026,0
fixed_random_40,i6_r4_s0.5,arrival,0.03679130841680356,0.013345576981940619,0
fixed_machine_40,i6_r4_s1,arrival,0.03720104562068073,0.014514845423936334,0
fixed_late_jobs_40,i6_r4_s1,arrival,0.03727033592309422,0.024833180287725742,0
fixed_machine_40,i6_r4_s0.5,arrival,0.03741612369830116,0.014514845423936334,0
fixed_late_jobs_40,i6_r4_s0.5,arrival,0.03750801763599848,0.024833180287725742,0
fixed_machine_40,i8_r2_s0.5,arrival,0.03867965397208834,0.019219467401285585,0
fixed_critical_block_40,i6_r4_s1,arrival,0.0391607749139225,0.022298745026017752,0
fixed_critical_block_40,i6_r4_s0.5,arrival,0.03987020229618353,0.022987450260177532,0
fixed_critical_40,i8_r2_s0.5,arrival,0.03990831357993676,0.026054484236302418,0
fixed_random_40,i6_r4_s1,arrival,0.04218238564326049,0.01196816651362106,0
fixed_delta_40,i6_r4_s1,arrival,0.042488363219550226,0.018478726660544842,0
fixed_late_jobs_40,i8_r2_s0.5,arrival,0.043516830878516904,0.021285583103764924,0
fixed_outage_window_40,i6_r4_s1,arrival,0.04527378081500075,0.02748393021120294,0
fixed_outage_window_40,i6_r4_s0.5,arrival,0.0454592055740338,0.02748393021120294,0
fixed_delta_expand_40,i6_r4_s1,arrival,0.045702319992633716,0.02817263544536272,0
fixed_delta_expand_40,i6_r4_s0.5,arrival,0.0457207566557707,0.02817263544536272,0
fixed_delta_40,i6_r4_s0.5,arrival,0.04608566994562559,0.028120599938781757,0
fixed_bottleneck_40,i8_r2_s0.5,arrival,0.04814721456997326,0.024729109274563822,0
fixed_bottleneck_40,i6_r4_s1,arrival,0.05039955096561613,0.036853382307927764,0
fixed_random_40,i8_r2_s0.5,arrival,0.050462668328301374,0.025365779002142638,0
fixed_bottleneck_40,i6_r4_s0.5,arrival,0.050564753493400866,0.036853382307927764,0
fixed_critical_40,i6_r4_s1,base,0.020687114573941935,0.0,2
fixed_critical_block_40,i6_r4_s0.5,base,0.020720109132839115,0.001430615164520744,1
fixed_delta_expand_40,i6_r4_s1,base,0.0207748181742875,0.001430615164520744,1
fixed_critical_40,i6_r4_s0.5,base,0.020775663879190345,0.0,2
fixed_critical_block_40,i6_r4_s1,base,0.02085884720267446,0.001430615164520744,1
fixed_delta_expand_40,i6_r4_s0.5,base,0.020862461280353913,0.001430615164520744,1
fixed_outage_window_40,i6_r4_s0.5,base,0.02090113029432454,0.001430615164520744,1
fixed_outage_window_40,i6_r4_s1,base,0.02093251883142835,0.001430615164520744,1
fixed_late_jobs_40,i8_r2_s0.5,base,0.02274614333192545,0.004291845493562232,1
fixed_machine_40,i8_r2_s0.5,base,0.02312541718518206,0.004291845493562232,1
fixed_random_40,i8_r2_s0.5,base,0.02315704687978771,0.004291845493562232,1
fixed_delta_40,i8_r2_s0.5,base,0.023172054104497346,0.004291845493562232,1
fixed_critical_40,i8_r2_s0.5,base,0.023196288329747027,0.004291845493562232,1
fixed_bottleneck_40,i8_r2_s0.5,base,0.02357719809932829,0.007868383404864092,1
fixed_delta_expand_40,i8_r2_s0.5,base,0.023622224033484483,0.009298998569384835,1
fixed_outage_window_40,i8_r2_s0.5,base,0.023633257995858893,0.009298998569384835,1
fixed_random_40,i6_r4_s0.5,base,0.02370892294609893,0.009298998569384835,1
fixed_critical_block_40,i8_r2_s0.5,base,0.023782582118859755,0.009298998569384835,1
cpsat_warm,full,base,0.023783747825183735,0.007868383404864092,1
fixed_delta_40,i6_r4_s1,base,0.023860322117717145,0.009298998569384835,1
fixed_delta_40,i6_r4_s0.5,base,0.02392888913106733,0.009298998569384835,1
fixed_random_40,i6_r4_s1,base,0.023940759476851287,0.009298998569384835,1
fixed_machine_40,i6_r4_s0.5,base,0.024137217521232376,0.009298998569384835,1
cpsat_cold,full,base,0.024197817638000045,0.007868383404864092,1
fixed_machine_40,i6_r4_s1,base,0.024345392873847946,0.009298998569384835,1
