method,split,size_bucket,mean_pi,mean_final_gap,wins
cpsat_cold,full,medium,0.02840477016225587,0.008985720522939644,3
cpsat_warm,full,medium,0.0319208314839736,0.007379813685218703,3
fixed_random_40,i6_r4_s0.5,medium,0.033719040553905,0.012818945797771106,2
fixed_random_40,i6_r4_s1,medium,0.034504591765884586,0.009949534215806539,2
fixed_critical_block_40,i6_r4_s1,medium,0.03505911197605873,0.014434933726366169,1
fixed_late_jobs_40,i6_r4_s1,medium,0.03544807805756591,0.014604414170189914,2
fixed_outage_window_40,i6_r4_s1,medium,0.03567424834676595,0.01487227061347817,1
fixed_outage_window_40,i6_r4_s0.5,medium,0.03574155137557717,0.01487227061347817,1
fixed_critical_40,i8_r2_s0.5,medium,0.0358508401569675,0.015114309134510992,1
fixed_machine_40,i6_r4_s0.5,medium,0.03616812616405257,0.016304601375141146,1
fixed_machine_40,i6_r4_s1,medium,0.036450929297268383,0.016304601375141146,1
fixed_delta_expand_40,i6_r4_s1,medium,0.036482743922078086,0.015688054840366186,1
fixed_delta_expand_40,i6_r4_s0.5,medium,0.03651954372741893,0.015688054840366186,1
fixed_critical_block_40,i6_r4_s0.5,medium,0.03677754511803889,0.01525463189134687,1
fixed_delta_40,i6_r4_s1,medium,0.03736742111780718,0.015420189545557572,1
fixed_delta_40,i8_r2_s0.5,medium,0.03755709920115114,0.008583645010972802,3
fixed_critical_block_40,i8_r2_s0.5,medium,0.03762990932390972,0.016328574028223103,1
fixed_late_jobs_40,i6_r4_s0.5,medium,0.03765998362816388,0.01827941566121395,2
fixed_delta_40,i6_r4_s0.5,medium,0.037741855000767655,0.01626166212697273,1
fixed_critical_40,i6_r4_s1,medium,0.03775507336651289,0.015658064521162942,2
fixed_critical_40,i6_r4_s0.5,medium,0.037932791636607045,0.014291037310097524,2
fixed_bottleneck_40,i8_r2_s0.5,medium,0.038565472782756835,0.014692395276377956,2
fixed_late_jobs_40,i8_r2_s0.5,medium,0.03892014376540896,0.016226663111558765,1
fixed_random_40,i8_r2_s0.5,medium,0.0397896572691611,0.010174111600451247,3
fixed_machine_40,i8_r2_s0.5,medium,0.0398458631304028,0.015962464891603044,1
fixed_outage_window_40,i8_r2_s0.5,medium,0.040851607289224504,0.015630565296983513,1
fixed_delta_expand_40,i8_r2_s0.5,medium,0.04090739981512627,0.015630565296983513,1
fixed_bottleneck_40,i6_r4_s1,medium,0.042260980690614465,0.02486733926468206,1
fixed_bottleneck_40,i6_r4_s0.5,medium,0.04235090557324709,0.02486733926468206,1
