seed,method,split,instance,delta_kind,num_ops,size_bucket,objective,initial_objective,best_known,final_gap,primal_integral,rounds,improving_rounds,repair_improvement
1,cpsat_cold,full,0,base,225,medium,713,,713,0.0,0.0156322378490096,0,0,0
1,cpsat_cold,full,1,duration_jitter,225,medium,720,,720,0.0,0.024904918419993524,0,0,0
1,cpsat_cold,full,2,cancellation,210,medium,705,,705,0.0,0.017724303722716807,0,0,0
1,cpsat_cold,full,3,cancellation,195,medium,671,,667,0.005997001499250375,0.02399371934359048,0,0,0
1,cpsat_cold,full,4,arrival,210,medium,680,,675,0.007407407407407408,0.01665557058165885,0,0,0
1,cpsat_warm,full,0,base,225,medium,713,,713,0.0,0.014772063458065218,0,0,0
1,cpsat_warm,full,1,duration_jitter,225,medium,731,,720,0.015277777777777777,0.08015843989531272,0,0,0
1,cpsat_warm,full,2,cancellation,210,medium,711,,705,0.00851063829787234,0.01585500817730237,0,0,0
1,cpsat_warm,full,3,cancellation,195,medium,667,,667,0.0,0.01824761409681805,0,0,0
1,cpsat_warm,full,4,arrival,210,medium,675,,675,0.0,0.025406269798245014,0,0,0
1,fixed_random_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.0150524367046295,55,0,0
1,fixed_random_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08176897118293303,57,0,0
1,fixed_random_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.015908351525654434,64,0,0
1,fixed_random_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.01881205588834435,76,0,0
1,fixed_random_40,i8_r2_s0.5,4,arrival,210,medium,686,687.0,675,0.016296296296296295,0.029326440217439083,65,1,1
1,fixed_delta_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.0151048413257947,55,0,0
1,fixed_delta_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08118542540337426,57,0,0
1,fixed_delta_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.016042976466227134,61,0,0
1,fixed_delta_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.018882313443939834,74,0,0
1,fixed_delta_40,i8_r2_s0.5,4,arrival,210,medium,682,687.0,675,0.01037037037037037,0.02828143778907703,69,3,5
1,fixed_critical_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.015290715692220822,52,0,0
1,fixed_critical_40,i8_r2_s0.5,1,duration_jitter,225,medium,731,731.0,720,0.015277777777777777,0.08104059790894504,59,0,0
1,fixed_critical_40,i8_r2_s0.5,2,cancellation,210,medium,711,711.0,705,0.00851063829787234,0.015826293157693506,64,0,0
1,fixed_critical_40,i8_r2_s0.5,3,cancellation,195,medium,671,671.0,667,0.005997001499250375,0.018694905961759496,76,0,0
1,fixed_critical_40,i8_r2_s0.5,4,arrival,210,medium,686,687.0,675,0.016296296296296295,0.02916733066929522,66,1,1
1,fixed_machine_40,i8_r2_s0.5,0,base,225,medium,713,713.0,713,0.0,0.014942628671952327,46,0,0
