method,delta_kind,mean_pi,mean_final_gap,n
cpsat_warm,arrival,0.015448132075669387,0.0053490894034820555,70
boot_warm,arrival,0.018372763797753957,0.010785291245283143,70
boot_cold,arrival,0.03858079397213921,0.029298107478621143,70
cpsat_cold,arrival,0.07627448730659689,0.03412688424066296,70
cpsat_cold,base,0.04453410294979459,0.00065523786083708,20
cpsat_warm,base,0.04686613747971998,0.000455830868397225,20
boot_warm,base,0.048850384364807924,0.002234995644155945,20
boot_cold,base,0.048950761155772335,0.001394436221505405,20
boot_warm,cancellation,0.026464684102862533,0.01230733153932652,15
cpsat_warm,cancellation,0.03537474344849178,0.01413221118656378,15
boot_cold,cancellation,0.04741704276631568,0.025812031795034874,15
cpsat_cold,cancellation,0.06915580079883088,0.022339523299832974,15
boot_warm,duration_jitter,0.01554038958550697,0.004642821060156051,25
boot_cold,duration_jitter,0.03878760451796344,0.028667419132153246,25
cpsat_warm,duration_jitter,0.043804112087692394,0.01805325057482228,25
cpsat_cold,duration_jitter,0.07651617249071654,0.034588923464587265,25
boot_warm,outage,0.028074853074119065,0.00851789962085269,10
boot_cold,outage,0.03284246225377936,0.01792045431059494,10
cpsat_cold,outage,0.06349334994654256,0.028280129380519235,10
cpsat_warm,outage,0.07327103610916019,0.02401984314657354,10
