method,instance_size,mean_pi,mean_final_gap,n
cpsat_warm,dmu01_20x15,0.02520557351922079,0.004706341577629303,28
boot_warm,dmu01_20x15,0.025659184458275162,0.010878764905547244,28
boot_cold,dmu01_20x15,0.0425723437968601,0.02765967409487672,28
cpsat_cold,dmu01_20x15,0.0695371635501204,0.025660052032483397,28
boot_warm,dmu02_20x15,0.022564137693113443,0.007192623737224014,28
cpsat_warm,dmu02_20x15,0.03545378616624063,0.012767768826602629,28
boot_cold,dmu02_20x15,0.04380744679194374,0.02677834689147803,28
cpsat_cold,dmu02_20x15,0.07131445078813485,0.028356328893194005,28
boot_warm,dmu03_20x15,0.02282220988912798,0.005040221552617879,28
cpsat_warm,dmu03_20x15,0.037608394748971194,0.013236552207314798,28
boot_cold,dmu03_20x15,0.04590696167490608,0.02477236113532571,28
cpsat_cold,dmu03_20x15,0.0720371567635368,0.030855814758301462,28
boot_warm,dmu04_20x15,0.021740929527023528,0.010444774397592482,28
boot_cold,dmu04_20x15,0.03031676363093321,0.018997098011602733,28
cpsat_warm,dmu04_20x15,0.03152910937496528,0.006459928045658378,28
cpsat_cold,dmu04_20x15,0.0637762449286824,0.028897266277658613,28
boot_warm,dmu05_20x15,0.026118170041771967,0.00878396525899213,28
cpsat_warm,dmu05_20x15,0.02652907582997871,0.008796042887310517,28
boot_cold,dmu05_20x15,0.04057652618202854,0.02185776080489151,28
cpsat_cold,dmu05_20x15,0.07387323376143541,0.024966391037666714,28
