method,stream_step,mean_pi,mean_final_gap,n
cpsat_cold,0,0.04453410294979459,0.00065523786083708,20
cpsat_warm,0,0.04686613747971998,0.000455830868397225,20
boot_warm,0,0.048850384364807924,0.002234995644155945,20
boot_cold,0,0.048950761155772335,0.001394436221505405,20
boot_warm,1,0.02215982275166578,0.007093064500312175,20
cpsat_warm,1,0.0314488125163955,0.0115988380676754,20
boot_cold,1,0.03759976858144358,0.02844893799866261,20
cpsat_cold,1,0.07491520596098114,0.035914898299474377,20
boot_warm,2,0.014936368485855278,0.00763806644854313,20
cpsat_warm,2,0.020326141402039526,0.00814528853742686,20
boot_cold,2,0.03917618205855846,0.031003163540754896,20
cpsat_cold,2,0.07158030046012845,0.030436754910151752,20
cpsat_warm,3,0.013265994150293805,0.00637359068483382,20
boot_warm,3,0.015361157929641328,0.009950143022088655,20
boot_cold,3,0.03892327013485626,0.025856714481488536,20
cpsat_cold,3,0.07978847453552346,0.0327161321813884,20
boot_warm,4,0.018389654613800797,0.011097132544974655,20
cpsat_warm,4,0.032772508586195626,0.00855949462069449,20
boot_cold,4,0.034480352225546206,0.0225540405474449,20
cpsat_cold,4,0.07512204437300339,0.029467307422224698,20
boot_warm,5,0.023312840862632238,0.011574023730997135,20
cpsat_warm,5,0.02874493102663307,0.012529724547507354,20
boot_cold,5,0.040632054274142494,0.028252227466606,20
cpsat_cold,5,0.0708709081633584,0.030592258307698968,20
boot_warm,6,0.02345625524463357,0.009689063901691549,20
boot_cold,6,0.04468967047702099,0.030581817056982225,20
cpsat_warm,6,0.04543179033384974,0.016690519635786726,20
cpsat_cold,6,0.07394251326588437,0.03444760521725059,20
