method,delta_kind,mean_pi,mean_final_gap,n
cpsat_warm,arrival,0.01605244452527753,0.007508316866884431,55
boot_warm,arrival,0.02071061381291159,0.010953418910812935,55
boot_cold,arrival,0.02927120486115602,0.01866843012463993,55
cpsat_cold,arrival,0.04846646629709744,0.020940256457527524,55
cpsat_warm,base,0.02651106156802252,0.000870697364863455,20
cpsat_cold,base,0.026531827052704526,0.001052631578947365,20
boot_warm,base,0.02766676451819295,0.0016535123382716197,20
boot_cold,base,0.028186883018691274,0.0016535123382716197,20
boot_warm,cancellation,0.022225426664228325,0.00985249684450088,20
cpsat_warm,cancellation,0.028701252700682005,0.009077888025665799,20
boot_cold,cancellation,0.029023657178829577,0.014895285319904996,20
cpsat_cold,cancellation,0.04555037498245644,0.01647700276113969,20
boot_warm,duration_jitter,0.01560963065225132,0.00900461335867478,25
boot_cold,duration_jitter,0.01699393646708664,0.00782751580828115,25
cpsat_cold,duration_jitter,0.040918499937500116,0.012167536805581212,25
cpsat_warm,duration_jitter,0.05612302503128031,0.02886705039965098,25
boot_warm,outage,0.016985533609793997,0.006804777507153845,20
boot_cold,outage,0.029665732544452837,0.01558005428163441,20
cpsat_warm,outage,0.03671329240034398,0.011738556198788651,20
cpsat_cold,outage,0.04822436160617988,0.01763628390119418,20
