method,instance_size,mean_pi,mean_final_gap,n
boot_warm,swv01_20x10,0.018616667547146904,0.006287428578940596,28
cpsat_warm,swv01_20x10,0.03212716629444171,0.010403079646591314,28
boot_cold,swv01_20x10,0.036829649981359416,0.02102100672218232,28
cpsat_cold,swv01_20x10,0.052410469584205796,0.021367586359517292,28
boot_warm,swv02_20x10,0.022907188920170386,0.007959199458757922,28
boot_cold,swv02_20x10,0.0277367498421411,0.012204682601056564,28
cpsat_warm,swv02_20x10,0.03060030315892519,0.00934946519438516,28
cpsat_cold,swv02_20x10,0.045133836168962334,0.013657932034480263,28
boot_warm,swv03_20x10,0.021140372170039452,0.010791831732234301,28
boot_cold,swv03_20x10,0.02614643174996088,0.013928779055255703,28
cpsat_warm,swv03_20x10,0.03546960925911897,0.01824503044026538,28
cpsat_cold,swv03_20x10,0.0444253327244503,0.017578506476613635,28
boot_cold,swv04_20x10,0.017023805664218742,0.006679107681296389,28
boot_warm,swv04_20x10,0.018331702212990453,0.009464824631329315,28
cpsat_warm,swv04_20x10,0.02470228186262301,0.009022350848483055,28
cpsat_cold,swv04_20x10,0.03303869919601081,0.010125142272491618,28
boot_warm,swv05_20x10,0.02139260564467873,0.00813132659374172,28
cpsat_warm,swv05_20x10,0.02440321828393548,0.008993520993713533,28
boot_cold,swv05_20x10,0.02698801040089917,0.012774587899439213,28
cpsat_cold,swv05_20x10,0.04266128438368071,0.014385864647224649,28
