method,stream_step,mean_pi,mean_final_gap,n
cpsat_warm,0,0.02651106156802252,0.000870697364863455,20
cpsat_cold,0,0.026531827052704526,0.001052631578947365,20
boot_warm,0,0.02766676451819295,0.0016535123382716197,20
boot_cold,0,0.028186883018691274,0.0016535123382716197,20
cpsat_warm,1,0.019753126256418743,0.008923104080888509,20
boot_warm,1,0.02064044935378508,0.009849229992018326,20
boot_cold,1,0.027312728999961754,0.01941351617845796,20
cpsat_cold,1,0.0454641463142116,0.02068140006806803,20
boot_warm,2,0.021436964342153992,0.011259462514968,20
boot_cold,2,0.029628588645861896,0.015884818281933798,20
cpsat_warm,2,0.03468975399348279,0.015026285051458949,20
cpsat_cold,2,0.0431563739982941,0.01613226487138138,20
boot_warm,3,0.014435543042253553,0.009207199897710145,20
boot_cold,3,0.02053354726218378,0.00652407134718723,20
cpsat_cold,3,0.040983345972874674,0.008960720121159834,20
cpsat_warm,3,0.042764032498860835,0.01700180839273369,20
boot_warm,4,0.014974777083101218,0.0050804481428900344,20
boot_cold,4,0.027343230321601724,0.01616699724833635,20
cpsat_warm,4,0.03178453533484854,0.01085361670960941,20
cpsat_cold,4,0.0489008184986207,0.017852311123300234,20
boot_warm,5,0.01795505605236914,0.00956647109101268,20
cpsat_warm,5,0.020640211563559933,0.006654721045579405,20
boot_cold,5,0.027051475130462254,0.01531536870932626,20
cpsat_cold,5,0.05144346975623578,0.020714580926510726,20
boot_warm,6,0.026234396701180364,0.013072131416134591,20
boot_cold,6,0.028558053315248366,0.01829314543940905,20
cpsat_warm,6,0.03008088918746874,0.019088593327680394,20
cpsat_cold,6,0.048257489287292565,0.022567135817090873,20
