method,instance_size,mean_pi,mean_final_gap,n
cpsat_warm,ta01_15x15,0.013427486085451313,0.0014789329321665858,28
boot_warm,ta01_15x15,0.022136378455806727,0.010413629838386774,28
boot_cold,ta01_15x15,0.033101896044433324,0.01950210879024069,28
cpsat_cold,ta01_15x15,0.04356496960873033,0.012267309990090128,28
cpsat_warm,ta02_15x15,0.016787985573336373,0.006685138538346254,28
boot_warm,ta02_15x15,0.01959663942416003,0.008007400383476696,28
boot_cold,ta02_15x15,0.025589509696293866,0.014431238078495836,28
cpsat_cold,ta02_15x15,0.03391651125221568,0.010228086090798182,28
cpsat_warm,ta03_15x15,0.015266605323535165,0.0038269383193335824,28
boot_warm,ta03_15x15,0.022536641352522625,0.009744677733684244,28
boot_cold,ta03_15x15,0.030760316518960964,0.02086300715049937,28
cpsat_cold,ta03_15x15,0.048868944956435,0.02561618367047685,28
boot_warm,ta04_15x15,0.018443423478046096,0.01011648074113139,28
cpsat_warm,ta04_15x15,0.024764573443602386,0.010624129760525838,28
boot_cold,ta04_15x15,0.029630955066057542,0.016787630558308116,28
cpsat_cold,ta04_15x15,0.05332379702424626,0.01962000181866705,28
cpsat_warm,ta05_15x15,0.011226852819895687,0.000700174454475075,28
boot_warm,ta05_15x15,0.02461020049705283,0.012477151068267398,28
boot_cold,ta05_15x15,0.025996370757875954,0.013764754798469775,28
cpsat_cold,ta05_15x15,0.04803494479587668,0.01736621064269454,28
cpsat_warm,ta06_15x15,0.010227236749892869,0.0032931406234208,28
boot_cold,ta06_15x15,0.018287373064681346,0.007049528973373629,28
boot_warm,ta06_15x15,0.018787604033941474,0.011658143581001975,28
cpsat_cold,ta06_15x15,0.02773196188073897,0.008959795501848625,28
cpsat_warm,ta07_15x15,0.01350344518456895,0.0026669877245628464,28
boot_warm,ta07_15x15,0.019384133027880873,0.009361495370541874,28
boot_cold,ta07_15x15,0.023834944278055797,0.010814167657149832,28
cpsat_cold,ta07_15x15,0.044566086374994034,0.01478123349407634,28
cpsat_warm,ta08_15x15,0.01522205388550078,0.0031548095606522357,28
boot_warm,ta08_15x15,0.01959676605262361,0.01087309539453911,28
boot_cold,ta08_15x15,0.026589550785428014,0.015460921702048243,28
cpsat_cold,ta08_15x15,0.0439688330319546,0.018270071069617238,28
cpsat_warm,ta09_15x15,0.01383448739817371,0.003626111818362821,28
boot_warm,ta09_15x15,0.021377725106059144,0.010657146257872174,28
boot_cold,ta09_15x15,0.02789243379868594,0.015335066149581618,28
cpsat_cold,ta09_15x15,0.04594552031812071,0.019428092009102317,28
cpsat_warm,ta10_15x15,0.0165093567906017,0.005321364809411386,28
boot_warm,ta10_15x15,0.024427674673720538,0.009420097821873464,28
boot_cold,ta10_15x15,0.030126749622485443,0.014793250706995676,28
cpsat_cold,ta10_15x15,0.04607373842969781,0.017513002353408847,28
boot_cold,ta11_20x15,0.017637743497428242,0.004381026151329918,28
boot_warm,ta11_20x15,0.01968465087247594,0.007506631958569864,28
cpsat_warm,ta11_20x15,0.03317411787110073,0.012022842259499868,28
cpsat_cold,ta11_20x15,0.04333211371505174,0.008411782163621682,28
boot_warm,ta12_20x15,0.02208325200383356,0.006690557335544628,28
cpsat_warm,ta12_20x15,0.03172859749369846,0.011822799989674143,28
boot_cold,ta12_20x15,0.037971595360023314,0.019991955704484785,28
cpsat_cold,ta12_20x15,0.0620353508655238,0.023728418828225732,28
boot_warm,ta13_20x15,0.0277303709397217,0.01054592918350156,28
cpsat_warm,ta13_20x15,0.029810009824807766,0.004670502097581754,28
boot_cold,ta13_20x15,0.04179053295376813,0.02597649044525342,28
cpsat_cold,ta13_20x15,0.05986675762888679,0.027059399941925914,28
boot_warm,ta14_20x15,0.023677016198166066,0.009053586197614394,28
cpsat_warm,ta14_20x15,0.02595206163616439,0.007013097200744668,28
boot_cold,ta14_20x15,0.03030327317775388,0.01292964819168331,28
cpsat_cold,ta14_20x15,0.04698377722471669,0.013946345254594357,28
cpsat_warm,ta15_20x15,0.025972655053321112,0.005571393315284493,28
boot_warm,ta15_20x15,0.026987862923191993,0.009801870905926643,28
boot_cold,ta15_20x15,0.028843876345747334,0.012403490665955285,28
cpsat_cold,ta15_20x15,0.045726806215145584,0.013687572026591282,28
boot_warm,ta16_20x15,0.022158673379453285,0.007534222731021878,28
cpsat_warm,ta16_20x15,0.028006947291029212,0.006342183636573232,28
boot_cold,ta16_20x15,0.030019436498434394,0.016607833186426686,28
cpsat_cold,ta16_20x15,0.047081395903067425,0.019500127479977442,28
boot_warm,ta17_20x15,0.020651153359431285,0.004462087654846353,28
cpsat_warm,ta17_20x15,0.024167287665865036,0.006905616279484321,28
boot_cold,ta17_20x15,0.038019396211920166,0.02283115657576226,28
cpsat_cold,ta17_20x15,0.0574396278624371,0.023882222680651703,28
cpsat_warm,ta18_20x15,0.025133988263334663,0.007930137379356278,28
boot_warm,ta18_20x15,0.026107048348598783,0.012479880414715244,28
