method,stream_step,mean_pi,mean_final_gap,n
cpsat_warm,0,0.02702135190896826,0.00019687870849896002,80
cpsat_cold,0,0.02760476196063243,0.00069069168244577,80
boot_cold,0,0.02789354025120096,0.0012160720503620762,80
boot_warm,0,0.027995637412539555,0.0013784756089549699,80
cpsat_warm,1,0.0202752406648882,0.0063903400977356984,80
boot_warm,1,0.02345379697204299,0.009972116272666122,80
boot_cold,1,0.030293581906655404,0.016931948833713708,80
cpsat_cold,1,0.04961757635499529,0.017345667998061563,80
cpsat_warm,2,0.019884782350248303,0.008346046266207678,80
boot_warm,2,0.02560985392835057,0.013297055257939793,80
boot_cold,2,0.03355146131636519,0.018002708041095637,80
cpsat_cold,2,0.04926840016752345,0.018529794501001028,80
cpsat_warm,3,0.009292618745708128,0.002542999342229035,80
boot_warm,3,0.02501278547499538,0.011674198270241009,80
boot_cold,3,0.03352080602959777,0.02080860815774033,80
cpsat_cold,3,0.05380558852793639,0.022437092712444706,80
boot_warm,4,0.017005306893354295,0.008606672735860067,80
cpsat_warm,4,0.02504003609578776,0.008548699453076385,80
boot_cold,4,0.026787985462053316,0.018350060522339715,80
cpsat_cold,4,0.05363770869781209,0.022624536621134592,80
boot_warm,5,0.02450232648588794,0.013290327746079102,80
cpsat_warm,5,0.02454878515059662,0.008254373637538611,80
boot_cold,5,0.03360599987322536,0.019319412090347408,80
cpsat_cold,5,0.051964754182493654,0.020983702359529444,80
boot_warm,6,0.01674748611868683,0.009052596338612252,80
boot_cold,6,0.02434031526856024,0.014827750858107414,80
cpsat_warm,6,0.026829087098769362,0.008256122902922828,80
cpsat_cold,6,0.04990895744994824,0.020513354069782008,80
