method,delta_kind,mean_pi,mean_final_gap,n
cpsat_warm,arrival,0.018212762441275156,0.005250915760553347,40
boot_warm,arrival,0.036289544088578894,0.020346568760843224,40
boot_cold,arrival,0.03644659150143246,0.02033649293257119,40
cpsat_cold,arrival,0.05696941715124672,0.022230433906429148,40
cpsat_cold,base,0.043124849074199056,0.00011891799993488751,16
cpsat_warm,base,0.045494479278776284,0.00166422443253955,16
boot_cold,base,0.04827822523132055,0.004549408850764875,16
boot_warm,base,0.04934941887133414,0.004554333513848393,16
boot_cold,cancellation,0.023231703219530896,0.010625958107633126,20
boot_warm,cancellation,0.0248482782226619,0.015167317924508941,20
cpsat_warm,cancellation,0.029309946190489378,0.008208745329400795,20
cpsat_cold,cancellation,0.044785486436375956,0.01340970468599548,20
boot_warm,duration_jitter,0.02278275747206069,0.008121597694525334,20
boot_cold,duration_jitter,0.0312619942109705,0.015769572062231896,20
cpsat_cold,duration_jitter,0.04958548779823395,0.017168061807599243,20
cpsat_warm,duration_jitter,0.07414482176930443,0.015040948870777508,20
boot_cold,outage,0.029178873270219344,0.011728882757996719,16
boot_warm,outage,0.038038507461509816,0.014881000281575458,16
cpsat_cold,outage,0.04470875497057193,0.014588736511997605,16
cpsat_warm,outage,0.07159334413202383,0.027102209297908738,16
