method,instance_size,mean_pi,mean_final_gap,n
boot_cold,yn1_20x20,0.027169354586059558,0.007834412804203503,28
cpsat_cold,yn1_20x20,0.03389064413416016,0.007503249013489678,28
boot_warm,yn1_20x20,0.034989985885745735,0.013854145397403789,28
cpsat_warm,yn1_20x20,0.04312932738031418,0.009631879966337822,28
boot_cold,yn2_20x20,0.036322038039107774,0.016134139633950252,28
boot_warm,yn2_20x20,0.03701626769893373,0.017447839745767513,28
cpsat_warm,yn2_20x20,0.043107837318788596,0.009302108365311621,28
cpsat_cold,yn2_20x20,0.04691982859518157,0.013386998951108422,28
boot_warm,yn3_20x20,0.031712472753584554,0.013953722387429882,28
boot_cold,yn3_20x20,0.0332350384338006,0.017022903517363155,28
cpsat_warm,yn3_20x20,0.04359756432700816,0.01262922830130145,28
cpsat_cold,yn3_20x20,0.05640198446919542,0.021097389029910547,28
boot_warm,yn4_20x20,0.032081605760418526,0.011551664024441535,28
cpsat_warm,yn4_20x20,0.03698709352459206,0.008982978156794554,28
boot_cold,yn4_20x20,0.038525396965745085,0.016216507845923572,28
cpsat_cold,yn4_20x20,0.06177089406783438,0.020015761516919223,28
