method,stream_step,mean_pi,mean_final_gap,n
cpsat_cold,0,0.043124849074199056,0.00011891799993488751,16
cpsat_warm,0,0.045494479278776284,0.00166422443253955,16
boot_cold,0,0.04827822523132055,0.004549408850764875,16
boot_warm,0,0.04934941887133414,0.004554333513848393,16
cpsat_warm,1,0.024464829192510525,0.005551564994997138,16
boot_cold,1,0.03009234220495371,0.015976237296865457,16
boot_warm,1,0.031915542844238184,0.023449963754879413,16
cpsat_cold,1,0.0565007202077983,0.023897539414282232,16
boot_cold,2,0.026787112661685805,0.01115971050679095,16
boot_warm,2,0.028821818028113757,0.01281168552875728,16
cpsat_cold,2,0.04130973947284093,0.010367656576682956,16
cpsat_warm,2,0.04666014786507202,0.01513950133610243,16
boot_cold,3,0.025368981886906082,0.011820142765229963,16
boot_warm,3,0.02821375110783766,0.01776990995030955,16
cpsat_cold,3,0.04956618714659511,0.014883300797375532,16
cpsat_warm,3,0.04957691772406145,0.006656760590526888,16
boot_cold,4,0.034333774105435234,0.014995735825199856,16
cpsat_warm,4,0.03537388997192873,0.01114051718090907,16
boot_warm,4,0.04070180186611599,0.018337185428980805,16
cpsat_cold,4,0.04632381670554562,0.015299193236826913,16
boot_warm,5,0.03235004304976784,0.015521328881549518,16
boot_cold,5,0.036281245691032096,0.022020784070543906,16
cpsat_warm,5,0.038978092227960115,0.015220942411405975,16
cpsat_cold,5,0.05880356704376208,0.021978361987192625,16
boot_warm,6,0.026298205405286875,0.006968493162999793,16
boot_cold,6,0.0355490172619143,0.019591917337125845,16
cpsat_warm,6,0.05138983320342112,0.015582329935573482,16
cpsat_cold,6,0.052591985065409075,0.021960977382703625,16
