seed,method,instance,delta_kind,objective,initial_objective,proven_optimal,best_known,final_gap,primal_integral
1,cpsat_cold,0,base,95,,False,95,0.0,0.0055655955552203
1,cpsat_cold,1,duration_jitter,95,,False,95,0.0,0.004993958934057
1,cpsat_cold,2,duration_jitter,95,,False,95,0.0,0.0049648563950828
1,cpsat_cold,3,resource_capacity_reduction,104,,True,104,0.0,0.004332476732508
1,cpsat_cold,4,resource_capacity_reduction,127,,False,127,0.0,0.0070199218804821
1,cpsat_cold,5,duration_jitter,128,,False,127,0.0078740157480314,0.0132405779356955
1,cpsat_cold,6,resource_capacity_reduction,128,,False,127,0.0078740157480314,0.0131037510532116
1,cpsat_cold,7,activity_insertion,129,,False,129,0.0,0.0071985016658391
1,cpsat_cold,8,duration_jitter,131,,False,129,0.0155038759689922,0.0209087887436231
1,boot_cold,0,base,95,,False,95,0.0,0.0063905331506822
1,boot_cold,1,duration_jitter,95,95.0,False,95,0.0,0.0004597565020958
1,boot_cold,2,duration_jitter,95,95.0,False,95,0.0,0.000472933625133
1,boot_cold,3,resource_capacity_reduction,104,115.0,True,104,0.0,0.0011928095938786
1,boot_cold,4,resource_capacity_reduction,127,147.0,False,127,0.0,0.0036939739610408
1,boot_cold,5,duration_jitter,127,127.0,False,127,0.0,0.0004356535027909
1,boot_cold,6,resource_capacity_reduction,127,127.0,False,127,0.0,0.0004380653736006
1,boot_cold,7,activity_insertion,129,134.0,False,129,0.0,0.0034042055061339
1,boot_cold,8,duration_jitter,129,129.0,False,129,0.0,0.0004576696228468
2,cpsat_cold,0,base,118,,False,117,0.0085470085470085,0.0133619557984477
2,cpsat_cold,1,activity_cancellation,109,,False,108,0.0092592592592592,0.0211204373516819
2,cpsat_cold,2,duration_jitter,109,,False,107,0.0186915887850467,0.0335376574731976
2,cpsat_cold,3,duration_jitter,109,,False,107,0.0186915887850467,0.0339181166320452
2,cpsat_cold,4,duration_jitter,108,,False,106,0.0188679245283018,0.0332312680635231
2,cpsat_cold,5,duration_jitter,108,,False,106,0.0188679245283018,0.0255865327825339
2,cpsat_cold,6,resource_capacity_reduction,108,,False,108,0.0,0.0215389135842593
2,cpsat_cold,7,activity_insertion,110,,False,110,0.0,0.0184376447793262
2,cpsat_cold,8,resource_capacity_reduction,110,,False,110,0.0,0.018108805520288
2,boot_cold,0,base,117,,False,117,0.0,0.0083943874870029
2,boot_cold,1,activity_cancellation,108,116.0,False,108,0.0,0.0128758266496165
2,boot_cold,2,duration_jitter,107,107.0,False,107,0.0,0.0003701056230056
2,boot_cold,3,duration_jitter,107,107.0,False,107,0.0,0.0003589974985516
2,boot_cold,4,duration_jitter,106,106.0,False,106,0.0,0.0003596661263145
2,boot_cold,5,duration_jitter,106,106.0,False,106,0.0,0.000358630248229
2,boot_cold,6,resource_capacity_reduction,108,117.0,False,108,0.0,0.016392440525831
2,boot_cold,7,activity_insertion,110,114.0,False,110,0.0,0.0108142452445132
2,boot_cold,8,resource_capacity_reduction,110,110.0,False,110,0.0,0.0002999770003953
3,cpsat_cold,0,base,107,,False,107,0.0,0.0013559115532784
3,cpsat_cold,1,duration_jitter,107,,False,107,0.0,0.0042173163124189
3,cpsat_cold,2,activity_cancellation,107,,False,107,0.0,0.0018337199526455
3,cpsat_cold,3,activity_insertion,107,,False,107,0.0,0.0013301837489307
3,cpsat_cold,4,duration_jitter,107,,False,107,0.0,0.0013520770811839
3,cpsat_cold,5,activity_insertion,111,,False,111,0.0,0.0013852899382572
3,cpsat_cold,6,activity_cancellation,111,,False,111,0.0,0.0022332849694722
3,cpsat_cold,7,resource_capacity_reduction,131,,False,131,0.0,0.0022884888918228
3,cpsat_cold,8,activity_insertion,131,,False,131,0.0,0.0019680830011135
3,boot_cold,0,base,107,,False,107,0.0,0.001454639914674
3,boot_cold,1,duration_jitter,107,107.0,False,107,0.0,0.0001557711257191
3,boot_cold,2,activity_cancellation,107,107.0,False,107,0.0,0.0001504885003669
3,boot_cold,3,activity_insertion,107,107.0,False,107,0.0,0.0001647651261009
3,boot_cold,4,duration_jitter,107,107.0,False,107,0.0,0.0001649278747208
3,boot_cold,5,activity_insertion,111,111.0,False,111,0.0,0.0001794187483028
3,boot_cold,6,activity_cancellation,111,111.0,False,111,0.0,0.0001885129968286
3,boot_cold,7,resource_capacity_reduction,131,142.0,False,131,0.0,0.0009755122172957
3,boot_cold,8,activity_insertion,131,131.0,False,131,0.0,0.0001676129977568
4,cpsat_cold,0,base,115,,False,115,0.0,0.0134330474129693
4,cpsat_cold,1,duration_jitter,115,,False,115,0.0,0.0197258628692551
4,cpsat_cold,2,resource_capacity_reduction,143,,True,143,0.0,0.0018787106037688
4,cpsat_cold,3,duration_jitter,143,,True,143,0.0,0.0018854792205611
4,cpsat_cold,4,duration_jitter,143,,True,143,0.0,0.0019448349066933
4,cpsat_cold,5,resource_capacity_reduction,143,,True,143,0.0,0.0019794464632296
4,cpsat_cold,6,duration_jitter,144,,True,144,0.0,0.0025366150437346
4,cpsat_cold,7,duration_jitter,144,,True,144,0.0,0.0056092514787451
4,cpsat_cold,8,activity_insertion,151,,True,151,0.0,0.001983526922177
4,boot_cold,0,base,115,,False,115,0.0,0.0136688201363342
4,boot_cold,1,duration_jitter,115,116.0,False,115,0.0,0.0079969316241698
4,boot_cold,2,resource_capacity_reduction,143,148.0,True,143,0.0,0.0003171075344386
4,boot_cold,3,duration_jitter,143,143.0,True,143,0.0,0.0002064104992314
4,boot_cold,4,duration_jitter,143,143.0,True,143,0.0,0.0002052371273748
4,boot_cold,5,resource_capacity_reduction,143,149.0,True,143,0.0,0.0003712508864132
4,boot_cold,6,duration_jitter,144,144.0,True,144,0.0,0.0002250566249131
4,boot_cold,7,duration_jitter,144,144.0,True,144,0.0,0.0002255409999634
4,boot_cold,8,activity_insertion,151,151.0,True,151,0.0,0.000237233001826
