seed,method,instance,delta_kind,objective,initial_objective,proven_optimal,best_known,final_gap,primal_integral
1,cpsat_cold,0,base,95,,False,95,0.0,0.005565595555220314
1,cpsat_cold,1,duration_jitter,95,,False,95,0.0,0.004993958934057062
1,cpsat_cold,2,duration_jitter,95,,False,95,0.0,0.004964856395082805
1,cpsat_cold,3,resource_capacity_reduction,104,,True,104,0.0,0.0043324767325080196
1,cpsat_cold,4,resource_capacity_reduction,127,,False,127,0.0,0.007019921880482154
1,cpsat_cold,5,duration_jitter,128,,False,127,0.007874015748031496,0.013240577935695594
1,cpsat_cold,6,resource_capacity_reduction,128,,False,127,0.007874015748031496,0.013103751053211626
1,cpsat_cold,7,activity_insertion,129,,False,129,0.0,0.0071985016658391385
1,cpsat_cold,8,duration_jitter,131,,False,129,0.015503875968992248,0.02090878874362314
1,boot_cold,0,base,95,,False,95,0.0,0.006390533150682274
1,boot_cold,1,duration_jitter,95,95.0,False,95,0.0,0.00045975650209584273
1,boot_cold,2,duration_jitter,95,95.0,False,95,0.0,0.00047293362513300963
1,boot_cold,3,resource_capacity_reduction,104,115.0,True,104,0.0,0.0011928095938786173
1,boot_cold,4,resource_capacity_reduction,127,147.0,False,127,0.0,0.0036939739610408117
1,boot_cold,5,duration_jitter,127,127.0,False,127,0.0,0.0004356535027909558
1,boot_cold,6,resource_capacity_reduction,127,127.0,False,127,0.0,0.0004380653736006934
1,boot_cold,7,activity_insertion,129,134.0,False,129,0.0,0.0034042055061339247
1,boot_cold,8,duration_jitter,129,129.0,False,129,0.0,0.00045766962284687907
2,cpsat_cold,0,base,118,,False,117,0.008547008547008548,0.013361955798447728
2,cpsat_cold,1,activity_cancellation,109,,False,108,0.009259259259259259,0.021120437351681984
2,cpsat_cold,2,duration_jitter,109,,False,107,0.018691588785046728,0.033537657473197695
2,cpsat_cold,3,duration_jitter,109,,False,107,0.018691588785046728,0.03391811663204522
2,cpsat_cold,4,duration_jitter,108,,False,106,0.018867924528301886,0.03323126806352311
2,cpsat_cold,5,duration_jitter,108,,False,106,0.018867924528301886,0.025586532782533984
2,cpsat_cold,6,resource_capacity_reduction,108,,False,108,0.0,0.02153891358425931
2,cpsat_cold,7,activity_insertion,110,,False,110,0.0,0.018437644779326298
2,cpsat_cold,8,resource_capacity_reduction,110,,False,110,0.0,0.018108805520288034
2,boot_cold,0,base,117,,False,117,0.0,0.008394387487002945
2,boot_cold,1,activity_cancellation,108,116.0,False,108,0.0,0.012875826649616538
2,boot_cold,2,duration_jitter,107,107.0,False,107,0.0,0.0003701056230056565
2,boot_cold,3,duration_jitter,107,107.0,False,107,0.0,0.00035899749855161645
2,boot_cold,4,duration_jitter,106,106.0,False,106,0.0,0.00035966612631455064
2,boot_cold,5,duration_jitter,106,106.0,False,106,0.0,0.00035863024822901934
2,boot_cold,6,resource_capacity_reduction,108,117.0,False,108,0.0,0.01639244052583106
2,boot_cold,7,activity_insertion,110,114.0,False,110,0.0,0.010814245244513255
2,boot_cold,8,resource_capacity_reduction,110,110.0,False,110,0.0,0.00029997700039530173
3,cpsat_cold,0,base,107,,False,107,0.0,0.0013559115532784023
3,cpsat_cold,1,duration_jitter,107,,False,107,0.0,0.004217316312418932
3,cpsat_cold,2,activity_cancellation,107,,False,107,0.0,0.0018337199526455984
3,cpsat_cold,3,activity_insertion,107,,False,107,0.0,0.0013301837489307557
3,cpsat_cold,4,duration_jitter,107,,False,107,0.0,0.0013520770811839746
3,cpsat_cold,5,activity_insertion,111,,False,111,0.0,0.0013852899382572606
3,cpsat_cold,6,activity_cancellation,111,,False,111,0.0,0.0022332849694722172
3,cpsat_cold,7,resource_capacity_reduction,131,,False,131,0.0,0.002288488891822835
3,cpsat_cold,8,activity_insertion,131,,False,131,0.0,0.001968083001113584
3,boot_cold,0,base,107,,False,107,0.0,0.0014546399146740578
3,boot_cold,1,duration_jitter,107,107.0,False,107,0.0,0.00015577112571918406
3,boot_cold,2,activity_cancellation,107,107.0,False,107,0.0,0.00015048850036691874
3,boot_cold,3,activity_insertion,107,107.0,False,107,0.0,0.00016476512610097416
3,boot_cold,4,duration_jitter,107,107.0,False,107,0.0,0.0001649278747208882
3,boot_cold,5,activity_insertion,111,111.0,False,111,0.0,0.00017941874830285087
3,boot_cold,6,activity_cancellation,111,111.0,False,111,0.0,0.0001885129968286492
3,boot_cold,7,resource_capacity_reduction,131,142.0,False,131,0.0,0.0009755122172957257
3,boot_cold,8,activity_insertion,131,131.0,False,131,0.0,0.00016761299775680527
