domain,experiment_family,benchmark_name,instance_size,base_seed,stream_seed,method,bootstrap_policy,objective,budget_s,workers,stream_step,delta_kind,severity,status,error_message,objective_value,best_known,final_gap,primal_integral,optimality_proved,best_bound,solver_status,total_wall_time_s,bootstrap_time_ms,solver_time_s,time_to_first_feasible_s,time_to_10pct_gap_s,time_to_5pct_gap_s,time_to_1pct_gap_s,has_previous_solution,bootstrap_objective,bootstrap_gap,bootstrap_feasible,num_common_ops,num_moved_ops,fraction_moved_ops,mean_abs_start_shift,median_abs_start_shift,max_abs_start_shift,machine_order_distance,frozen_violation_count,solution_feasible,validation_error,ortools_version,python_version,git_commit,hostname,timestamp_utc
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,0,base,low,ok,,747,747,0.0,0.0230418973370381,False,,FEASIBLE,5.003164716006722,0.0,,0.0140853239863645,0.1282288180082105,0.3282070529821794,2.597513054992305,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,1,batch_arrival,low,ok,,805,805,0.0,0.0194999468814862,False,,FEASIBLE,5.002841099980287,0.0,,0.0147111810219939,0.1008796070236712,0.9104087640007492,1.1551505160168745,True,,,,225.0,219.0,0.9733333333333334,99.24,76.0,294.0,244.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,2,rush_job,low,ok,,818,818,0.0,0.0233538149467932,False,,FEASIBLE,5.011988117999863,0.0,,0.016405134985689,0.1533971879980527,0.4736523400060832,2.856590904004406,True,,,,255.0,249.0,0.976470588235294,80.93333333333334,51.0,339.0,287.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,3,arrival,low,ok,,807,807,0.0,0.0634893180269867,False,,FEASIBLE,5.003353954991326,0.0,,0.0176662709855008,0.5977067560015712,2.6753848799853586,4.421381355001358,True,,,,270.0,254.0,0.9407407407407408,82.51851851851852,56.5,349.0,353.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,4,arrival,low,ok,,856,856,0.0,0.0252611224997691,False,,FEASIBLE,5.003063781012315,0.0,,0.0186819879745598,0.4594499939994421,1.00507239298895,1.472675775992684,True,,,,285.0,278.0,0.975438596491228,94.2140350877193,71.0,336.0,405.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,5,batch_arrival,low,ok,,883,883,0.0,0.0347415486682893,False,,FEASIBLE,5.003146361006657,0.0,,0.0212238620151765,0.582119197002612,1.4112066199886613,2.1337115530041046,True,,,,300.0,291.0,0.97,101.18333333333334,66.5,386.0,508.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,6,rush_job,low,ok,,980,980,0.0,0.0159591490541684,False,,FEASIBLE,5.004404503997648,0.0,,0.0230298100213985,0.0230298100213985,0.0230298100213985,1.539204177010106,True,,,,330.0,322.0,0.9757575757575756,131.8060606060606,97.0,497.0,712.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,7,batch_arrival,low,ok,,1002,1002,0.0,0.0111281083610248,False,,FEASIBLE,5.003422898997087,0.0,,0.0261406880163121,0.0261406880163121,0.2012044390139635,0.7971700190100819,True,,,,345.0,341.0,0.9884057971014492,190.69565217391303,144.0,551.0,1121.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,append,makespan,5.0,1,8,batch_arrival,low,ok,,1010,1010,0.0,0.0274361022772776,False,,FEASIBLE,5.003941096016206,0.0,,0.0302708719973452,0.0302708719973452,0.695640158985043,3.1391870329971425,True,,,,375.0,368.0,0.9813333333333332,185.968,167.0,550.0,1126.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,0,base,low,ok,,752,752,0.0,0.0161503947075617,False,,FEASIBLE,5.00250201698509,0.0,,0.0132119150075595,0.1164651770086493,0.3097401050035842,2.561424179002642,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,1,batch_arrival,low,ok,,805,805,0.0,0.0198602902429375,False,,FEASIBLE,5.002613001997816,0.0,,0.0152438469813205,0.1026309019944164,0.9245735289878212,1.174258262006333,True,,,,225.0,222.0,0.9866666666666668,101.76,91.0,336.0,249.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,2,rush_job,low,ok,,818,818,0.0,0.0232985949088619,False,,FEASIBLE,5.00445621900144,0.0,,0.0157392120163422,0.1536521230009384,0.4776441210124176,2.857546173006994,True,,,,255.0,249.0,0.976470588235294,80.93333333333334,51.0,339.0,287.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,3,arrival,low,ok,,807,807,0.0,0.0632196980977171,False,,FEASIBLE,5.002768100996036,0.0,,0.0175534870068077,0.5997046940028667,2.6550275390036404,4.399200818996178,True,,,,270.0,254.0,0.9407407407407408,82.51851851851852,56.5,349.0,353.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,4,arrival,low,ok,,856,856,0.0,0.0250664819648234,False,,FEASIBLE,5.002708730986342,0.0,,0.018353160994593,0.4568771129997913,1.0003233439929318,1.4631966469751203,True,,,,285.0,278.0,0.975438596491228,94.2140350877193,71.0,336.0,405.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,5,batch_arrival,low,ok,,883,883,0.0,0.0348212505889503,False,,FEASIBLE,5.003221306018531,0.0,,0.0214514120016247,0.583214540994959,1.4135812309978064,2.137742550985422,True,,,,300.0,291.0,0.97,101.18333333333334,66.5,386.0,508.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,6,rush_job,low,ok,,980,980,0.0,0.0159873955175743,False,,FEASIBLE,5.004432057990925,0.0,,0.0231326690118294,0.0231326690118294,0.0231326690118294,1.5409092660120225,True,,,,330.0,322.0,0.9757575757575756,131.8060606060606,97.0,497.0,712.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
jssp,arrivals,,15x15,11,11,cpsat_cold,gap_insert,makespan,5.0,1,7,batch_arrival,low,ok,,1002,1002,0.0,0.0111429755474933,False,,FEASIBLE,5.003309536987217,0.0,,0.0263287859852425,0.0263287859852425,0.2013708500016946,0.7934250679973047,True,,,,345.0,341.0,0.9884057971014492,190.69565217391303,144.0,551.0,1121.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T08:53:20Z
