domain,experiment_family,benchmark_name,instance_size,base_seed,stream_seed,method,bootstrap_policy,objective,budget_s,workers,stream_step,delta_kind,severity,status,error_message,objective_value,best_known,final_gap,primal_integral,optimality_proved,best_bound,solver_status,total_wall_time_s,bootstrap_time_ms,solver_time_s,time_to_first_feasible_s,time_to_10pct_gap_s,time_to_5pct_gap_s,time_to_1pct_gap_s,has_previous_solution,bootstrap_objective,bootstrap_gap,bootstrap_feasible,num_common_ops,num_moved_ops,fraction_moved_ops,mean_abs_start_shift,median_abs_start_shift,max_abs_start_shift,machine_order_distance,frozen_violation_count,solution_feasible,validation_error,ortools_version,python_version,git_commit,hostname,timestamp_utc
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,0,base,medium,ok,,436,436,0.0,0.0018047466210775562,False,,FEASIBLE,0.40887116800877266,0.0,,0.008068808994721621,0.022168955008964986,0.03460421599447727,0.1317533719993662,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,1,cancellation,medium,ok,,414,414,0.0,0.0012994205443941313,False,,FEASIBLE,0.11070450398256071,0.0,,0.004472311993595213,0.02547473699087277,0.05732891199295409,0.09979923698119819,True,,,,90.0,85.0,0.9444444444444444,36.56666666666667,28.0,142.0,48.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,2,arrival,medium,ok,,436,436,0.0,0.003389005109849277,False,,FEASIBLE,0.5751201039820444,0.0,,0.00527231500018388,0.05829746997915208,0.26292813298641704,0.31485622498439625,True,,,,90.0,80.0,0.8888888888888888,27.666666666666668,20.0,138.0,40.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,3,cancellation,medium,ok,,434,434,0.0,0.0009949692730557291,False,,FEASIBLE,0.1271042349981144,0.0,,0.004668743000365794,0.01476362900575623,0.01711389800766483,0.06947758898604661,True,,,,90.0,59.0,0.6555555555555556,8.7,3.0,65.0,6.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,4,duration_jitter,medium,ok,,441,441,0.0,0.0011703492135215097,False,,FEASIBLE,0.1853388159943279,0.0,,0.0045785270049236715,0.016286975995171815,0.0523503250151407,0.09096193200093694,True,,,,90.0,85.0,0.9444444444444444,17.877777777777776,7.0,100.0,21.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,5,outage,medium,ok,,492,492,0.0,0.0007038622610323032,False,,FEASIBLE,0.024256214004708454,0.0,,0.004441379016498104,0.0053330119990278035,0.016169409005669877,0.022452186996815726,True,,,,90.0,85.0,0.9444444444444444,54.955555555555556,51.0,153.0,54.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,6,duration_jitter,medium,ok,,490,490,0.0,0.0007946862380183064,False,,FEASIBLE,0.02136504100053571,0.0,,0.004768300015712157,0.013028381014009938,0.01483151299180463,0.01852695000707172,True,,,,90.0,82.0,0.9111111111111111,40.28888888888889,11.5,220.0,57.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,7,cancellation,medium,ok,,480,480,0.0,0.0006305069688854322,False,,FEASIBLE,0.018501783983083442,0.0,,0.004183340992312878,0.004849273012951016,0.013619169010780752,0.01641912999912165,True,,,,80.0,67.0,0.8375,39.525,17.0,206.0,41.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,8,arrival,medium,ok,,482,482,0.0,0.0007188769438444938,False,,FEASIBLE,0.019142967998050153,0.0,,0.004740164993563667,0.005538156983675435,0.017841936991317198,0.017841936991317198,True,,,,80.0,61.0,0.7625,46.1375,31.0,233.0,46.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
jssp,paper_main,,10x10,107,107,cpsat_cold,append,makespan,8,1,9,cancellation,medium,ok,,482,482,0.0,0.0005896159844993855,False,,FEASIBLE,0.011618884018389508,0.0,,0.003960091999033466,0.008891067991498858,0.010433524992549792,0.010433524992549792,True,,,,80.0,59.0,0.7375,44.725,22.0,225.0,51.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-11T12:05:11Z
