domain,experiment_family,benchmark_name,instance_size,base_seed,stream_seed,method,bootstrap_policy,objective,budget_s,workers,stream_step,delta_kind,severity,status,error_message,objective_value,best_known,final_gap,primal_integral,optimality_proved,best_bound,solver_status,total_wall_time_s,bootstrap_time_ms,solver_time_s,time_to_first_feasible_s,time_to_10pct_gap_s,time_to_5pct_gap_s,time_to_1pct_gap_s,has_previous_solution,bootstrap_objective,bootstrap_gap,bootstrap_feasible,num_common_ops,num_moved_ops,fraction_moved_ops,mean_abs_start_shift,median_abs_start_shift,max_abs_start_shift,machine_order_distance,frozen_violation_count,solution_feasible,validation_error,ortools_version,python_version,git_commit,hostname,timestamp_utc
jssp,smoke,,5x5,1,1,cpsat_cold,append,makespan,0.2,1,0,base,low,ok,,257,257,0.0,0.012018160846610716,False,,FEASIBLE,0.004547109012492001,0.0,,0.002278547006426379,0.002278547006426379,0.003884545003529638,0.003884545003529638,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,cpsat_cold,append,makespan,0.2,1,1,outage,low,ok,,301,301,0.0,0.006539729947689921,False,,FEASIBLE,0.001786401990102604,0.0,,0.0013079459895379841,0.0013079459895379841,0.0013079459895379841,0.0013079459895379841,True,,,,25.0,11.0,0.44,24.08,0.0,96.0,6.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,cpsat_cold,append,makespan,0.2,1,2,duration_jitter,low,ok,,301,301,0.0,0.006503354961751029,False,,FEASIBLE,0.0026856850017793477,0.0,,0.0013006709923502058,0.0013006709923502058,0.0013006709923502058,0.0013006709923502058,True,,,,25.0,2.0,0.08,0.36,0.0,5.0,0.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,cpsat_cold,append,makespan,0.2,1,3,outage,low,ok,,339,339,0.0,0.006881395976778921,False,,FEASIBLE,0.0024191629781853408,0.0,,0.0013580629893112928,0.0013580629893112928,0.0015830609772820026,0.00200812699040398,True,,,,25.0,22.0,0.88,51.84,51.0,148.0,9.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,boot_cold,append,makespan,0.2,1,0,base,low,ok,,257,257,0.0,0.008316375345765369,False,,FEASIBLE,0.0032371430133935064,0.0,,0.0015414990193676203,0.0015414990193676203,0.0031083310022950172,0.0031083310022950172,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,boot_cold,append,makespan,0.2,1,1,outage,low,ok,,301,301,0.0,0.00031356797470445083,False,,FEASIBLE,0.0019847049843519926,0.0,,3.2943993574008346e-05,3.2943993574008346e-05,3.2943993574008346e-05,0.0018250739958602935,True,306.0,0.016611295681063124,,25.0,11.0,0.44,24.08,0.0,96.0,6.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,boot_cold,append,makespan,0.2,1,2,duration_jitter,low,ok,,301,301,0.0,0.00011821495718322694,False,,FEASIBLE,0.0018280099902767688,0.0,,2.364299143664539e-05,2.364299143664539e-05,2.364299143664539e-05,2.364299143664539e-05,True,301.0,0.0,,25.0,2.0,0.08,0.36,0.0,5.0,0.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,boot_cold,append,makespan,0.2,1,3,outage,low,ok,,339,339,0.0,0.0011429043910308166,False,,FEASIBLE,0.0023122619895730168,0.0,,2.3784989025443792e-05,0.0016175729979295284,0.0018230749992653728,0.0022181250096764416,True,379.0,0.11799410029498525,,25.0,22.0,0.88,51.84,51.0,148.0,9.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,repair_only,append,makespan,0.2,1,0,base,low,ok,,353,257,0.3735408560311284,0.3737149928525001,False,,FEASIBLE,6.176100578159094e-05,0.05559399141930044,0.0,5.559399141930044e-05,,,,False,,,,,,,,,,,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
jssp,smoke,,5x5,1,1,repair_only,append,makespan,0.2,1,1,outage,low,ok,,400,301,0.3289036544850498,0.32896929771923283,False,,FEASIBLE,2.794997999444604e-05,0.019562983652576804,0.0,1.9562983652576804e-05,,,,True,,,,25.0,11.0,0.44,20.68,0.0,47.0,0.0,,True,,9.15.6755,3.12.3,ea1cd62,shivam-sharma-OptiPlex-7000,2026-07-10T11:29:09Z
