method,budget_s,mean_pi,mean_final_gap,n
boot_cold,0.2,0.002472765667170925,0.0,4
cpsat_cold,0.2,0.007985660433207625,0.0,4
greedy_from_scratch,0.2,0.16248737078647338,0.16230004069169707,4
repair_only,0.2,0.35232173992110954,0.35223232148629524,4
boot_cold,1.0,0.02547221849996388,0.0038089928471107004,36
cpsat_cold,1.0,0.03470751173324651,0.0038795844043604533,36
cpsat_warm,1.0,0.04029915033963863,0.0090516693466706,36
boot_warm,1.0,0.04186227827540068,0.011736440552098784,36
dispatch_mwkr,1.0,0.1547092538329578,0.15415610908795893,36
dispatch_spt,1.0,0.25867796220497324,0.2582222266298524,36
repair_only,1.0,0.6506751005569149,0.6505700764170452,36
boot_warm,2.0,0.028190806330448136,0.007779470968448325,56
boot_cold,2.0,0.031062391546062374,0.009949918643432577,56
cpsat_warm,2.0,0.03448952650653036,0.008649353637202869,56
cpsat_cold,2.0,0.04225565637833258,0.012658837311857468,56
repair_only,2.0,0.8450170142366894,0.8449587896270143,56
cpsat_warm,5.0,0.01418289378736475,0.0018236612876057776,36
boot_cold,5.0,0.022496856699626727,0.00016371463151300123,324
cpsat_cold,5.0,0.025974882802221183,0.0001685522800288108,324
boot_warm,5.0,0.046018483659848196,0.0003095178156257275,324
dispatch_mwkr,5.0,0.16387247477268135,0.16376426124986854,36
dispatch_spt,5.0,0.2685921077930863,0.2685037827720183,36
repair_only,5.0,0.6642706125665769,0.6642507098928983,36
boot_cold,8.0,0.014784599259649566,0.004807555358833884,1091
boot_warm,8.0,0.0174540444765712,0.005366647834648521,1091
cpsat_cold,8.0,0.020843767876489498,0.005456589722644713,1091
cpsat_warm,8.0,0.024398712384540895,0.006823447139391717,1091
lns_prev_solution,8.0,0.06622670603095966,0.03674058299113515,495
fix_and_optimize_50,8.0,0.12149313551817784,0.11877830626388057,495
dispatch_mwkr,8.0,0.15019604181624768,0.14990814929872373,495
local_branching_prev,8.0,0.22381373523437811,0.14957857381373196,495
dispatch_spt,8.0,0.24230495699297047,0.24206948857629296,495
repair_only,8.0,0.998972775116539,0.9989544121844063,551
boot_cold,10.0,0.007139755137556183,0.0006437604482638694,36
boot_warm,10.0,0.009095581722883045,0.0018263970725587002,36
cpsat_cold,10.0,0.009238638166022373,0.0009058149556013945,36
cpsat_warm,10.0,0.010527339979404643,0.0019695933485909334,36
dispatch_mwkr,10.0,0.16795822364056612,0.1679039322133021,36
dispatch_spt,10.0,0.27284594164524223,0.2728010745976926,36
repair_only,10.0,0.6697512912614279,0.6697413509404099,36
