method,delta_kind,mean_pi,mean_final_gap,n
boot_cold,arrival,0.020803106845091308,0.004307980668160864,453
cpsat_cold,arrival,0.02318189503636622,0.004279189180608856,453
cpsat_warm,arrival,0.02819393307718364,0.007131657670844413,393
boot_warm,arrival,0.033441460037316774,0.007584418065318541,453
lns_prev_solution,arrival,0.09222160881992328,0.029424552554701115,163
fix_and_optimize_50,arrival,0.12546151376290016,0.12165627550918692,163
dispatch_mwkr,arrival,0.14892729727628348,0.14863982790236838,196
local_branching_prev,arrival,0.2509611276198656,0.16356410592102144,163
dispatch_spt,arrival,0.2607970532784444,0.2605669378069646,196
repair_only,arrival,1.2546553167981644,1.2546658710692689,236
cpsat_warm,base,0.017845246031932663,0.002656051848046058,139
boot_cold,base,0.018047971949448238,0.0024064313562990164,172
boot_warm,base,0.018526973320631725,0.002581504571576056,171
cpsat_cold,base,0.018559274506628233,0.0025243425796870737,172
local_branching_prev,base,0.026268622293686303,0.004155449947008393,45
fix_and_optimize_50,base,0.0664465204135352,0.06262845391011863,45
lns_prev_solution,base,0.08804249203442287,0.049003501296947,45
dispatch_mwkr,base,0.1417191503394296,0.14145604809852344,63
dispatch_spt,base,0.22249253739046207,0.22226248423394274,63
repair_only,base,0.24167660602104107,0.24144262153533322,80
greedy_from_scratch,base,0.3736801022219341,0.3735408560311284,1
boot_cold,batch_arrival,0.02307500628686792,0.0,132
cpsat_cold,batch_arrival,0.026165732149047924,0.0,132
boot_warm,batch_arrival,0.0560559623468104,0.0,132
boot_warm,cancellation,0.012036235537105668,0.004923713775087091,251
boot_cold,cancellation,0.014588683981017977,0.005979490799580286,251
cpsat_warm,cancellation,0.015659283719341756,0.005756293918367078,251
cpsat_cold,cancellation,0.024127269136046826,0.007120609675161659,251
lns_prev_solution,cancellation,0.04641984916936118,0.03822021878858623,106
fix_and_optimize_50,cancellation,0.11906292951321308,0.1172234544274201,106
dispatch_mwkr,cancellation,0.15368507645821297,0.15341285415162303,130
local_branching_prev,cancellation,0.20095739031817753,0.14745394670470663,106
dispatch_spt,cancellation,0.2410501221523951,0.24082716488289702,130
repair_only,cancellation,0.8099585002833911,0.8099517189625965,162
boot_warm,duration_jitter,0.010107404821968046,0.0036719749767815365,281
boot_cold,duration_jitter,0.012357591095671756,0.005387318424283928,282
cpsat_cold,duration_jitter,0.02397158244742244,0.0069608308836092165,282
cpsat_warm,duration_jitter,0.033046206345629714,0.009850620822657443,281
lns_prev_solution,duration_jitter,0.04659704983329816,0.03848228168894642,124
greedy_from_scratch,duration_jitter,0.0832602921374408,0.0830564784053156,1
fix_and_optimize_50,duration_jitter,0.13046136054148133,0.12860753299635236,124
dispatch_mwkr,duration_jitter,0.1552364907862579,0.15495795588545225,133
dispatch_spt,duration_jitter,0.2452220324460268,0.2449936947285083,133
local_branching_prev,duration_jitter,0.2645255990299079,0.17295200211626996,124
repair_only,duration_jitter,0.9848236581664426,0.9848203323516431,158
boot_cold,outage,0.01067982071801312,0.0032646817485008635,193
boot_warm,outage,0.011628625018532719,0.0038447816609097985,191
cpsat_cold,outage,0.017309285048090883,0.003969080996849726,193
cpsat_warm,outage,0.021537054603570496,0.005268979057307923,191
lns_prev_solution,outage,0.054204331839425406,0.04144004973357027,57
greedy_from_scratch,outage,0.0965045443932593,0.0963014141651721,2
fix_and_optimize_50,outage,0.13861232778933255,0.13638575448796225,57
dispatch_mwkr,outage,0.1619618398546961,0.1616789175698962,81
dispatch_spt,outage,0.24272631651076673,0.24249410763799525,81
local_branching_prev,outage,0.256077008461891,0.17749619143752762,57
repair_only,outage,0.82367629785243,0.8236673889277614,83
boot_cold,rush_job,0.02438484734947083,0.0,64
cpsat_cold,rush_job,0.028635007008939714,0.0,64
boot_warm,rush_job,0.05572961291149237,0.0,64
