method,objective,mean_pi,mean_final_gap,n
boot_cold,makespan,0.017028051327185288,0.0038885462183346404,1547
cpsat_cold,makespan,0.022712820669982446,0.004453083123825055,1547
boot_warm,makespan,0.024216149931414972,0.0044583338228030124,1543
cpsat_warm,makespan,0.02461414065635897,0.006686184777803145,1255
lns_prev_solution,makespan,0.06622670603095966,0.03674058299113515,495
fix_and_optimize_50,makespan,0.12149313551817784,0.11877830626388057,495
dispatch_mwkr,makespan,0.15234241953549918,0.15206336450200483,603
greedy_from_scratch,makespan,0.16248737078647338,0.16230004069169707,4
local_branching_prev,makespan,0.22381373523437811,0.14957857381373196,495
dispatch_spt,makespan,0.24667517434606842,0.24644671951782632,603
repair_only,makespan,0.9327028247621822,0.9326769673987183,719
