method,severity,mean_pi,mean_final_gap,n
boot_cold,extreme,0.019537635355460724,0.0,72
cpsat_cold,extreme,0.026836292583890312,0.0,72
boot_warm,extreme,0.04699343836756112,0.0,72
boot_cold,high,0.02448338334444104,0.0,72
cpsat_cold,high,0.026882943660742665,0.0,72
boot_warm,high,0.04782322073483466,0.0,72
boot_cold,low,0.024927810663379155,0.0,76
cpsat_cold,low,0.027322506509661348,0.0,76
boot_warm,low,0.05155551146535613,0.0,72
greedy_from_scratch,low,0.16248737078647338,0.16230004069169707,4
repair_only,low,0.35232173992110954,0.35223232148629524,4
boot_cold,medium,0.016034942310735413,0.004533218537877685,1327
boot_warm,medium,0.02021606862343268,0.0051840309635154845,1327
cpsat_cold,medium,0.02199882296316127,0.0051913486002693,1327
cpsat_warm,medium,0.02461414065635897,0.006686184777803145,1255
lns_prev_solution,medium,0.06622670603095966,0.03674058299113515,495
fix_and_optimize_50,medium,0.12149313551817784,0.11877830626388057,495
dispatch_mwkr,medium,0.15234241953549918,0.15206336450200483,603
local_branching_prev,medium,0.22381373523437811,0.14957857381373196,495
dispatch_spt,medium,0.24667517434606842,0.24644671951782632,603
repair_only,medium,0.9359497119501043,0.9359242101730536,715
