method,stream_step,mean_pi,mean_final_gap,n
cpsat_warm,0,0.017845246031932663,0.002656051848046058,139
boot_cold,0,0.018047971949448238,0.0024064313562990164,172
boot_warm,0,0.018526973320631725,0.002581504571576056,171
cpsat_cold,0,0.018559274506628233,0.0025243425796870737,172
local_branching_prev,0,0.026268622293686303,0.004155449947008393,45
fix_and_optimize_50,0,0.0664465204135352,0.06262845391011863,45
lns_prev_solution,0,0.08804249203442287,0.049003501296947,45
dispatch_mwkr,0,0.1417191503394296,0.14145604809852344,63
dispatch_spt,0,0.22249253739046207,0.22226248423394274,63
repair_only,0,0.24167660602104107,0.24144262153533322,80
greedy_from_scratch,0,0.3736801022219341,0.3735408560311284,1
boot_cold,1,0.017772412442609558,0.0037335250413981437,172
cpsat_warm,1,0.020584975035235927,0.006249077607750489,139
boot_warm,1,0.021871886178903566,0.0049027153794279936,171
cpsat_cold,1,0.022705833333618024,0.004461373883733283,172
fix_and_optimize_50,1,0.08915376785809932,0.08664108915682969,45
lns_prev_solution,1,0.09079291275220759,0.04890025972892627,45
greedy_from_scratch,1,0.1131531797635463,0.1129568106312292,1
dispatch_mwkr,1,0.15113691463860973,0.15087422059350045,63
local_branching_prev,1,0.1970923059365556,0.11849948651962493,45
dispatch_spt,1,0.2724781420571124,0.27226747491121367,63
repair_only,1,0.4243124026517612,0.4242876411207721,80
boot_cold,2,0.014908101828800679,0.0034264220634072787,172
cpsat_cold,2,0.020029926068432763,0.003641513552722037,172
cpsat_warm,2,0.022184561314314784,0.0062443008954377755,139
boot_warm,2,0.026221214664236405,0.004761089213482086,171
lns_prev_solution,2,0.06358235860687728,0.0367454947626844,45
greedy_from_scratch,2,0.0832602921374408,0.0830564784053156,1
fix_and_optimize_50,2,0.09373639675173981,0.09139782960826169,45
dispatch_mwkr,2,0.13950919691557348,0.1392392906107775,63
local_branching_prev,2,0.23079170750735298,0.15465700891244247,45
dispatch_spt,2,0.24347899406469928,0.24325631352848615,63
repair_only,2,0.5990259354008323,0.5990093958043218,80
boot_cold,3,0.01974627410689485,0.003808100604572775,172
boot_warm,3,0.02066376942078397,0.0033405739529737957,171
cpsat_cold,3,0.025162795268367986,0.0037405251347583063,172
cpsat_warm,3,0.025731670451723875,0.008064256975447768,139
lns_prev_solution,3,0.06496615517740197,0.03887548103756273,45
greedy_from_scratch,3,0.0798559090229723,0.079646017699115,1
fix_and_optimize_50,3,0.10807057549620344,0.10564393469519735,45
dispatch_mwkr,3,0.15986633806533027,0.15959967659516155,63
local_branching_prev,3,0.23198837533381333,0.15819554630261776,45
dispatch_spt,3,0.25361203665574755,0.25338949382492265,63
repair_only,3,0.7787475947615629,0.7787338857902386,80
boot_cold,4,0.014902145609110354,0.0038705709427488133,171
boot_warm,4,0.021597117374810227,0.0030484633126605333,171
cpsat_cold,4,0.022411404949618286,0.004907416758489869,171
cpsat_warm,4,0.022940839497498287,0.0057796117679219106,139
lns_prev_solution,4,0.061861961900866055,0.03524581050231337,45
fix_and_optimize_50,4,0.1131127142476678,0.11030750825832829,45
dispatch_mwkr,4,0.15740248213164676,0.15713043496606902,63
local_branching_prev,4,0.24423502885414522,0.16359561797199967,45
dispatch_spt,4,0.2595442675633805,0.25932953141332893,63
repair_only,4,0.9460641225315475,0.9460613120183176,79
boot_cold,5,0.017756809894086865,0.004457265417275187,171
cpsat_warm,5,0.021983850098231682,0.007226425082541157,139
boot_warm,5,0.023737772272329052,0.004299544856599812,171
cpsat_cold,5,0.02427305242878625,0.00507144284736666,171
lns_prev_solution,5,0.06158606091985218,0.03344065434775777,45
fix_and_optimize_50,5,0.12091877699840883,0.11818661091184338,45
dispatch_mwkr,5,0.15640657822727538,0.15613513939593618,63
local_branching_prev,5,0.24418713305701706,0.16264049759588242,45
