method,workers,mean_pi,mean_final_gap,n
boot_cold,1,0.01669214166237762,0.003705886656074332,1463
cpsat_cold,1,0.022199001623838355,0.004193006015037653,1463
boot_warm,1,0.024601315336213254,0.004419673030119003,1459
cpsat_warm,1,0.024832794121459688,0.0067834225237032785,1171
lns_prev_solution,1,0.06622670603095966,0.03674058299113515,495
fix_and_optimize_50,1,0.12149313551817784,0.11877830626388057,495
dispatch_mwkr,1,0.15234241953549918,0.15206336450200483,603
greedy_from_scratch,1,0.16248737078647338,0.16230004069169707,4
local_branching_prev,1,0.22381373523437811,0.14957857381373196,495
dispatch_spt,1,0.24667517434606842,0.24644671951782632,603
repair_only,1,0.9409498517393136,0.9409254715920639,635
boot_warm,4,0.016346413266586642,0.0058059451339357105,28
cpsat_warm,4,0.0205007053475387,0.0072560654837956,28
boot_cold,4,0.02275607930870246,0.00841643385414131,28
cpsat_cold,4,0.030865113905419166,0.010230567837735764,28
repair_only,4,0.8684843971579176,0.8684554445854193,28
boot_warm,8,0.01620315471279633,0.0039726896559009895,28
cpsat_warm,8,0.02071930910207233,0.004748868603843086,28
boot_cold,8,0.0222098512536679,0.0062157484003095426,28
cpsat_cold,8,0.02892568730836664,0.008129896882788704,28
repair_only,8,0.8711952023233113,0.8711506157971484,28
boot_warm,16,0.020029013043408476,0.005610870125928432,28
cpsat_warm,16,0.023478007246860833,0.0039869988011615965,28
boot_cold,16,0.023669503405386174,0.006577418528654178,28
cpsat_cold,16,0.035194705957190334,0.008587813585092483,28
repair_only,16,0.8713980844310906,0.8713605502859342,28
