method,n_common,pi_win,pi_tie,pi_loss,final_gap_win,final_gap_tie,final_gap_loss,stability_win,stability_tie,stability_loss,sign_test_p,wilcoxon_p,mean_pi_improvement,ci95_lo,ci95_hi,sign_test_p_holm
boot_cold,1547,1313,0,234,135,1327,85,285,902,188,4.0538853916804426e-182,1.5615543657001228e-152,0.00568476934279716,0.005107029524151882,0.0062298041280415715,3.6484968525123983e-181
boot_warm,1543,964,0,579,244,1074,225,671,102,599,8.633201337555373e-23,7.09861901634144e-08,-0.0014651512698919563,-0.0031494001498641334,8.169407383961211e-05,2.589960401266612e-22
cpsat_warm,1255,685,0,570,204,782,269,540,97,479,0.0012819849692069316,0.5218138941837543,-0.002992249392985112,-0.004109802366155624,-0.001837105006341083,0.0025639699384138633
lns_prev_solution,495,121,0,374,71,45,379,426,4,20,4.344611124496336e-31,8.442175363248865e-36,-0.029248142369976797,-0.03335336270643014,-0.025180969566780547,1.7378444497985344e-30
fix_and_optimize_50,495,65,0,430,13,1,481,445,0,5,4.843526813490162e-67,7.361076444771803e-70,-0.08451457185719499,-0.0916689845013492,-0.0773762301155971,2.421763406745081e-66
dispatch_mwkr,603,1,0,602,0,0,603,526,0,14,3.638978996305355e-179,1.9651920028528162e-100,-0.11862269310550906,-0.12355819790255383,-0.11362977808252386,2.5472852974137485e-178
greedy_from_scratch,4,0,0,4,0,0,4,1,1,1,0.125,0.125,-0.15450171035326574,-0.29043569032541494,-0.07486572511094158,0.125
local_branching_prev,495,27,0,468,13,41,441,449,0,1,5.2556398671800374e-105,8.372658704235762e-81,-0.18683517157339527,-0.19797286812596943,-0.17605332906202323,3.153383920308022e-104
dispatch_spt,603,0,0,603,0,0,603,525,2,13,6.02479966275721e-182,1.9360394888244137e-100,-0.21295544791607832,-0.22017565504171946,-0.2054501030402281,4.819839730205768e-181
repair_only,719,0,0,719,0,0,719,627,4,8,7.252088799648895e-217,2.275462651882066e-119,-0.8992575863048212,-0.9475005805365981,-0.8573006589620946,7.252088799648895e-216
