domain,seed,instance,delta_kind,boot_cold_value,cplex_boot_cold_value,cplex_cold_value,cpsat_cold_value,gurobi_boot_cold_value,gurobi_cold_value,boot_cold_pi,cplex_boot_cold_pi,cplex_cold_pi,cpsat_cold_pi,gurobi_boot_cold_pi,gurobi_cold_pi
knapsack,1,0,base,424882122.0,424882014.0,424882014.0,424882122.0,424882121.0,424882121.0,0.0160443123967404,0.0003964714064084,0.0004288902885316,0.0163773543540439,0.0001122016400506,0.0001233607741752
knapsack,1,1,value_jitter,426033890.0,426029496.0,426029496.0,426033890.0,426033890.0,426033890.0,8.931881718287951e-05,5.585863254824432e-05,0.0004438796009338,0.0171118798976069,4.810420534566712e-05,0.0001261534480995
knapsack,1,2,value_jitter,426996452.0,426993469.0,426993469.0,426996452.0,426996102.0,426996102.0,0.0001037582688929,5.65895928859872e-05,0.000487848019217,0.0180256793413168,5.070050571389862e-05,0.0001233328534368
knapsack,1,3,value_jitter,429218812.0,429212684.0,429212684.0,429218812.0,429217001.0,429217001.0,0.0001443449917372,6.281838269088418e-05,0.0004638114512154,0.0212084171014699,5.373225522497968e-05,0.000127285697855
knapsack,1,4,arrival,436141472.0,436140056.0,436140056.0,436141472.0,436136283.0,436136283.0,0.0004614340942793,5.9421652796227175e-05,0.0005052044989798,0.0230332453940604,6.70327766839101e-05,0.0001458689627451
knapsack,2,0,base,424557383.0,424556061.0,424556061.0,424557383.0,424557379.0,424557379.0,0.0153983718943695,0.0004143780559716,0.0004233406873715,0.015219419049603,0.000102120990839,0.0001082529001342
knapsack,2,1,arrival,430557384.0,430556965.0,430556965.0,430557384.0,430556806.0,430556806.0,0.0003138403898291,5.845679086479212e-05,0.0004316656966297,0.0179012454813334,5.716979481658193e-05,0.0001253957998086
knapsack,2,2,value_jitter,431907346.0,431890661.0,431890661.0,431907346.0,431906812.0,431906812.0,0.0001072236126631,8.531750193379484e-05,0.0004905592313874,0.0210787003384211,5.370303115657363e-05,0.0001248952383934
knapsack,2,3,removal,425891402.0,425891402.0,425891402.0,425891402.0,425891321.0,425891321.0,5.692147734308592e-05,5.063630425924689e-05,0.0004456886643906,0.0185291792462396,5.6944674739450215e-05,0.0001276589581919
knapsack,2,4,removal,419625271.0,419624030.0,419624030.0,419625271.0,419624241.0,419624241.0,7.901830446274279e-05,6.628405170180247e-05,0.0004231886847557,0.0172037424665243,5.150008432976698e-05,0.00010335867046
knapsack,3,0,base,423673886.0,423672676.0,423672676.0,423673886.0,423673563.0,423673563.0,0.0154470994267283,0.0004236018048542,0.0004106563806681,0.0155758291838596,0.000106104082567,0.0001195322655247
knapsack,3,1,capacity,410940359.0,410939089.0,410939089.0,410940359.0,410940094.0,410940094.0,9.097343123464684e-05,6.64206243467137e-05,0.0004020646063157,0.0151572713559645,6.720226673559723e-05,0.0001233560990687
knapsack,3,2,value_jitter,411443406.0,411411456.0,411411456.0,411443406.0,411442963.0,411442963.0,0.0001020622750297,0.0001273128842128,0.0005151816744622,0.0156336144669368,4.805726159276569e-05,0.000128339869409
knapsack,3,3,arrival,414985161.0,414966371.0,414966371.0,414985161.0,414975571.0,414975571.0,0.0002019189581525,9.623297294346732e-05,0.0004751330501432,0.0172766230493431,7.495359562353964e-05,0.0001501073020283
knapsack,3,4,removal,409170292.0,409136608.0,409136608.0,409170292.0,409168809.0,409168809.0,8.924321833913404e-05,0.000128251815602,0.0005069939254763,0.0154213122376231,5.687142306178029e-05,0.0001221578611985
knapsack,4,0,base,425135728.0,425127184.0,425127184.0,425135728.0,425135734.0,425135734.0,0.0322944814683664,0.0005105741916872,0.0005311689698568,0.0330229014151065,0.0001442132501527,0.0001626063265102
knapsack,4,1,arrival,432635737.0,432634639.0,432634639.0,432635737.0,432635706.0,432635706.0,0.0006882068961108,5.8728913288815855e-05,0.000504596473803,0.0355410559880886,7.214108016660722e-05,0.0850558100051183
knapsack,4,2,removal,425135738.0,425135196.0,425135196.0,425135738.0,425135728.0,425135728.0,7.002635039229514e-05,4.790627201528343e-05,0.000484465427928,0.0324707851024999,5.5966569346851504e-05,0.0005730859092518
knapsack,4,3,value_jitter,426534545.0,426520999.0,426520999.0,426534545.0,426533204.0,426533204.0,8.440750813997352e-05,7.962420800861777e-05,0.0005480577043913,0.016126341361367,6.391620671468415e-05,0.0001637862312034
knapsack,4,4,removal,420357882.0,420354327.0,420354327.0,420357882.0,420357881.0,420357881.0,6.156191345578894e-05,5.392079563579363e-05,0.0005274475691831,0.0147237287115982,5.2592603649885226e-05,0.0001398085459831
knapsack,5,0,base,421442391.0,421441870.0,421441870.0,421442391.0,421441948.0,421441948.0,0.0151055348526067,0.0004356290774564,0.0004448471073681,0.0151593961239727,0.0001122952284611,0.0001200607313517
knapsack,5,1,removal,413442411.0,413436034.0,413436034.0,413442411.0,413441956.0,413441956.0,6.374285477769782e-05,6.0032110394208346e-05,0.0004742351672418,0.0135369104929479,4.8098017496598055e-05,0.0001095315614899
knapsack,5,2,value_jitter,414630573.0,414599397.0,414599397.0,414630573.0,414625651.0,414625651.0,0.000102812539946,0.000125304304919,0.0005124261856938,0.0149638423390356,6.287618011937909e-05,0.000231979311347
knapsack,5,3,arrival,421521849.0,421501555.0,421501555.0,421521849.0,421521830.0,421521830.0,0.0003537679759057,0.0001048973522701,0.0005144784700072,0.0163898880241842,6.543672691839866e-05,0.0001251332186256
knapsack,5,4,value_jitter,422842620.0,422830390.0,422830390.0,422842620.0,422841174.0,422841174.0,9.944208136759024e-05,7.551814882569133e-05,0.0005053879075261,0.0178280684248974,5.181827832469452e-05,0.0001235455348657
