seed,instance,delta_kind,method,objective,initial_objective,proven_optimal,best_known,final_gap,primal_integral
1,0,base,cpsat_cold,196,,False,196,0.0,0.0004313794606787269
1,0,base,boot_cold,196,,False,196,0.0,0.0004683914129953114
1,0,base,gurobi_cold,196,,True,196,0.0,0.0016226133099122794
1,0,base,gurobi_boot_cold,196,,True,196,0.0,0.001500879340580598
1,0,base,cplex_cold,196,,True,196,0.0,0.001386198791880481
1,0,base,cplex_boot_cold,196,,True,196,0.0,0.00138701498617964
1,1,arrival,cpsat_cold,218,,False,218,0.0,0.0003445441216172185
1,1,arrival,boot_cold,218,297.0,False,218,0.0,0.0001542104679891955
1,1,arrival,gurobi_cold,218,,False,218,0.0,0.005214681759135695
1,1,arrival,gurobi_boot_cold,218,287.0,False,218,0.0,0.0035399636212662144
1,1,arrival,cplex_cold,218,,False,218,0.0,0.0028385112177143506
1,1,arrival,cplex_boot_cold,218,297.0,False,218,0.0,0.0015018154046645895
1,2,arrival,cpsat_cold,236,,False,236,0.0,0.0004182788939881178
1,2,arrival,boot_cold,236,326.0,False,236,0.0,0.00019496125209486108
1,2,arrival,gurobi_cold,236,,False,236,0.0,0.003322249636952065
1,2,arrival,gurobi_boot_cold,236,327.0,False,236,0.0,0.0012937231533862237
1,2,arrival,cplex_cold,236,,False,236,0.0,0.005537240028928154
1,2,arrival,cplex_boot_cold,236,319.0,False,236,0.0,0.0027205880614158146
1,3,cancellation,cpsat_cold,208,,False,208,0.0,0.0009445417899944285
1,3,cancellation,boot_cold,208,236.0,False,208,0.0,0.0006340474805291215
1,3,cancellation,gurobi_cold,208,,False,208,0.0,0.006832861376289237
1,3,cancellation,gurobi_boot_cold,208,230.0,False,208,0.0,0.0039237771181538286
1,3,cancellation,cplex_cold,208,,False,208,0.0,0.002043909217333679
1,3,cancellation,cplex_boot_cold,208,231.0,False,208,0.0,0.0010050403690316809
1,4,cancellation,cpsat_cold,191,,False,191,0.0,0.0006836036333370239
1,4,cancellation,boot_cold,191,207.0,False,191,0.0,0.00028105759298360637
1,4,cancellation,gurobi_cold,191,,True,191,0.0,0.008357165996759341
1,4,cancellation,gurobi_boot_cold,191,207.0,True,191,0.0,0.004125852509087388
1,4,cancellation,cplex_cold,191,,True,191,0.0,0.0019861510417671603
1,4,cancellation,cplex_boot_cold,191,201.0,True,191,0.0,0.0009581021160499562
2,0,base,cpsat_cold,222,,False,222,0.0,0.000627487742275588
2,0,base,boot_cold,222,,False,222,0.0,0.0006969549326354068
2,0,base,gurobi_cold,222,,True,222,0.0,0.004388354665803358
